"goods_nomenclature_sid","goods_nomenclature_item_id","producline_suffix","validity_start_date","validity_end_date","description","number_indents","goods_nomenclature_description_period_sid","desc_validity_start_date","desc_validity_end_date","nice_description","hs_chapter","hs_section","node","leaf","significant_digits"
27771,"0103921900","80",1972-01-01 00:00:00,,Other,4,143802,2018-01-01 00:00:00,, - - - - Other,"01",1,"01039219","1",8
27772,"0103929000","80",1972-01-01 00:00:00,,Other,3,143803,2018-01-01 00:00:00,, - - - Other,"01",1,"01039290","1",8
27773,"0104000000","80",1972-01-01 00:00:00,,Live sheep and goats,0,31114,1972-01-01 00:00:00,, Live sheep and goats,"01",1,"0104","0",4
27774,"0104100000","80",1972-01-01 00:00:00,,Sheep,1,121735,2014-01-01 00:00:00,, - Sheep,"01",1,"010410","0",6
27775,"0104101000","80",1972-01-01 00:00:00,,Pure-bred breeding animals,2,121736,2014-01-01 00:00:00,, - - Pure-bred breeding animals,"01",1,"01041010","1",8
27776,"0104103000","10",1993-01-01 00:00:00,,Other,2,143804,2018-01-01 00:00:00,, - - Other,"01",1,"01041030","0",8
27777,"0104103000","80",1993-01-01 00:00:00,,Lambs (up to a year old),3,121738,2014-01-01 00:00:00,, - - - Lambs (up to a year old),"01",1,"01041030","1",8
27778,"0104108000","80",1993-01-01 00:00:00,,Other,3,143805,2018-01-01 00:00:00,, - - - Other,"01",1,"01041080","1",8
27780,"0104200000","80",1972-01-01 00:00:00,,Goats,1,121740,2014-01-01 00:00:00,, - Goats,"01",1,"010420","0",6
27781,"0104201000","80",1972-01-01 00:00:00,,Pure-bred breeding animals,2,121741,2014-01-01 00:00:00,, - - Pure-bred breeding animals,"01",1,"01042010","1",8
27782,"0104209000","80",1972-01-01 00:00:00,,Other,2,143806,2018-01-01 00:00:00,, - - Other,"01",1,"01042090","1",8
27783,"0105000000","80",1972-01-01 00:00:00,,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",0,140132,2017-01-01 00:00:00,," Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","01",1,"0105","0",4
27784,"0105110000","10",1972-01-01 00:00:00,,Weighing not more than 185|g,1,121744,2014-01-01 00:00:00,, - Weighing not more than 185|g,"01",1,"010511","0",6
27785,"0105110000","80",1972-01-01 00:00:00,,Fowls of the species Gallus domesticus,2,140133,2017-01-01 00:00:00,, - - Fowls of the species Gallus domesticus,"01",1,"010511","0",6
27786,"0105111100","10",1993-01-01 00:00:00,,Grandparent and parent female chicks,3,121746,2014-01-01 00:00:00,, - - - Grandparent and parent female chicks,"01",1,"01051111","0",8
27787,"0105111100","80",1993-01-01 00:00:00,,Laying stocks,4,121747,2014-01-01 00:00:00,, - - - - Laying stocks,"01",1,"01051111","1",8
27788,"0105111900","80",1993-01-01 00:00:00,,Other,4,143807,2018-01-01 00:00:00,, - - - - Other,"01",1,"01051119","1",8
27789,"0105119100","10",1993-01-01 00:00:00,,Other,3,121749,2014-01-01 00:00:00,, - - - Other,"01",1,"01051191","0",8
27790,"0105119100","80",1993-01-01 00:00:00,,Laying stocks,4,121750,2014-01-01 00:00:00,, - - - - Laying stocks,"01",1,"01051191","1",8
27791,"0105119900","80",1993-01-01 00:00:00,,Other,4,121751,2014-01-01 00:00:00,, - - - - Other,"01",1,"01051199","1",8
59201,"0105120000","80",1996-01-01 00:00:00,,Turkeys,2,121752,2014-01-01 00:00:00,, - - Turkeys,"01",1,"010512","1",6
94185,"0105130000","80",2012-01-01 00:00:00,,Ducks,2,121753,2014-01-01 00:00:00,, - - Ducks,"01",1,"010513","1",6
94186,"0105140000","80",2012-01-01 00:00:00,,Geese,2,121754,2014-01-01 00:00:00,, - - Geese,"01",1,"010514","1",6
94187,"0105150000","80",2012-01-01 00:00:00,,Guinea fowls,2,140134,2017-01-01 00:00:00,, - - Guinea fowls,"01",1,"010515","1",6
85304,"0105940000","10",2007-01-01 00:00:00,,Other,1,121756,2014-01-01 00:00:00,, - Other,"01",1,"010594","0",6
85305,"0105940000","80",2007-01-01 00:00:00,,Fowls of the species Gallus domesticus,2,140135,2017-01-01 00:00:00,, - - Fowls of the species Gallus domesticus,"01",1,"010594","1",6
27797,"0105990000","80",1972-01-01 00:00:00,,Other,2,121758,2014-01-01 00:00:00,, - - Other,"01",1,"010599","0",6
27798,"0105991000","80",1972-01-01 00:00:00,,Ducks,3,121759,2014-01-01 00:00:00,, - - - Ducks,"01",1,"01059910","1",8
27799,"0105992000","80",1972-01-01 00:00:00,,Geese,3,121760,2014-01-01 00:00:00,, - - - Geese,"01",1,"01059920","1",8
27800,"0105993000","80",1972-01-01 00:00:00,,Turkeys,3,121761,2014-01-01 00:00:00,, - - - Turkeys,"01",1,"01059930","1",8
27801,"0105995000","80",1972-01-01 00:00:00,,Guinea fowls,3,121762,2014-01-01 00:00:00,, - - - Guinea fowls,"01",1,"01059950","1",8
27802,"0106000000","80",1972-01-01 00:00:00,,Other live animals,0,31144,1972-01-01 00:00:00,, Other live animals,"01",1,"0106","0",4
72769,"0106110000","10",2002-01-01 00:00:00,,Mammals,1,121763,2014-01-01 00:00:00,, - Mammals,"01",1,"010611","0",6
72770,"0106110000","80",2002-01-01 00:00:00,,Primates,2,121764,2014-01-01 00:00:00,, - - Primates,"01",1,"010611","1",6
72771,"0106120000","80",2002-01-01 00:00:00,,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",2,147443,2019-01-01 00:00:00,," - - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","01",1,"010612","1",6
94188,"0106130000","80",2012-01-01 00:00:00,,Camels and other camelids (Camelidae),2,143808,2018-01-01 00:00:00,, - - Camels and other camelids (Camelidae),"01",1,"010613","1",6
94189,"0106140000","80",2012-01-01 00:00:00,,Rabbits and hares,2,121767,2014-01-01 00:00:00,, - - Rabbits and hares,"01",1,"010614","0",6
94190,"0106141000","80",2012-01-01 00:00:00,,Domestic rabbits,3,121768,2014-01-01 00:00:00,, - - - Domestic rabbits,"01",1,"01061410","1",8
94191,"0106149000","80",2012-01-01 00:00:00,,Other,3,143809,2018-01-01 00:00:00,, - - - Other,"01",1,"01061490","1",8
72772,"0106190000","80",2002-01-01 00:00:00,,Other,2,143810,2018-01-01 00:00:00,, - - Other,"01",1,"010619","1",6
72775,"0106200000","80",2002-01-01 00:00:00,,Reptiles (including snakes and turtles),1,134979,2015-01-01 00:00:00,, - Reptiles (including snakes and turtles),"01",1,"010620","1",6
72776,"0106310000","10",2002-01-01 00:00:00,,Birds,1,90599,2002-01-01 00:00:00,, - Birds,"01",1,"010631","0",6
72777,"0106310000","80",2002-01-01 00:00:00,,Birds of prey,2,121772,2014-01-01 00:00:00,, - - Birds of prey,"01",1,"010631","1",6
72778,"0106320000","80",2002-01-01 00:00:00,,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",2,140138,2017-01-01 00:00:00,," - - Psittaciformes (including parrots, parakeets, macaws and cockatoos)","01",1,"010632","1",6
94192,"0106330000","80",2012-01-01 00:00:00,,Ostriches; emus (Dromaius novaehollandiae),2,121774,2014-01-01 00:00:00,, - - Ostriches; emus (Dromaius novaehollandiae),"01",1,"010633","1",6
72779,"0106390000","80",2002-01-01 00:00:00,,Other,2,143811,2018-01-01 00:00:00,, - - Other,"01",1,"010639","0",6
72780,"0106391000","80",2002-01-01 00:00:00,,Pigeons,3,121776,2014-01-01 00:00:00,, - - - Pigeons,"01",1,"01063910","1",8
94193,"0106398000","80",2012-01-01 00:00:00,,Other,3,121777,2014-01-01 00:00:00,, - - - Other,"01",1,"01063980","1",8
94194,"0106410000","10",2012-01-01 00:00:00,,Insects,1,121778,2014-01-01 00:00:00,, - Insects,"01",1,"010641","0",6
94195,"0106410000","80",2012-01-01 00:00:00,,Bees,2,121779,2014-01-01 00:00:00,, - - Bees,"01",1,"010641","1",6
94196,"0106490000","80",2012-01-01 00:00:00,,Other,2,121780,2014-01-01 00:00:00,, - - Other,"01",1,"010649","1",6
72782,"0106900000","80",2002-01-01 00:00:00,,Other,1,121781,2014-01-01 00:00:00,, - Other,"01",1,"010690","1",6
