"8100000000","8100","80","","","OTHER BASE METALS; CERMETS; ARTICLES THEREOF"
"8101000000","8101","80","","","Tungsten (wolfram) and articles thereof; including waste and scrap"
"8101100000","8101 10","80","0.0%","","Powders"
"8101940000","","10","","","Other"
"8101940000","8101 94","80","0.0%","","Unwrought tungsten; including bars and rods obtained simply by sintering"
"8101960000","8101 96","80","0.0%","","Wire"
"8101970000","8101 97","80","0.0%","","Waste and scrap"
"8101990000","8101 99","80","","","Other"
"8101991000","8101 99 10","80","0.0%","","Bars and rods; other than those obtained simply by sintering; profiles; plates; sheets; strip and foil"
"8101999000","8101 99 90","80","0.0%","","Other"
"8102000000","8102","80","","","Molybdenum and articles thereof; including waste and scrap"
"8102100000","8102 10","80","0.0%","","Powders"
"8102940000","","10","","","Other"
"8102940000","8102 94","80","0.0%","","Unwrought molybdenum; including bars and rods obtained simply by sintering"
"8102950000","8102 95","80","0.0%","","Bars and rods; other than those obtained simply by sintering; profiles; plates; sheets; strip and foil"
"8102960000","8102 96","80","0.0%","","Wire"
"8102970000","8102 97","80","0.0%","","Waste and scrap"
"8102990000","8102 99","80","0.0%","","Other"
"8103000000","8103","80","","","Tantalum and articles thereof; including waste and scrap"
"8103200000","8103 20","80","0.0%","","Unwrought tantalum; including bars and rods obtained simply by sintering; powders"
"8103300000","8103 30","80","0.0%","","Waste and scrap"
"8103900000","8103 90","80","","","Other"
"8103901000","8103 90 10","80","0.0%","","Bars and rods; other than those obtained simply by sintering; profiles; wire; plates; sheets; strip and foil"
"8103909000","8103 90 90","80","0.0%","","Other"
"8104000000","8104","80","","","Magnesium and articles thereof; including waste and scrap"
"8104110000","","10","","","Unwrought magnesium"
"8104110000","8104 11","80","0.0%","","Containing at least 99.8% by weight of magnesium"
"8104190000","8104 19","80","0.0%","","Other"
"8104200000","8104 20","80","0.0%","","Waste and scrap"
"8104300000","8104 30","80","0.0%","","Raspings; turnings and granules; graded according to size; powders"
"8104900000","8104 90","80","0.0%","","Other"
"8105000000","8105","80","","","Cobalt mattes and other intermediate products of cobalt metallurgy; cobalt and articles thereof; including waste and scrap"
"8105200000","8105 20","80","0.0%","","Cobalt mattes and other intermediate products of cobalt metallurgy; unwrought cobalt; powders"
"8105300000","8105 30","80","0.0%","","Waste and scrap"
"8105900000","8105 90","80","0.0%","","Other"
"8106000000","8106","80","","","Bismuth and articles thereof; including waste and scrap"
"8106001000","8106 00 10","80","0.0%","","Unwrought bismuth; waste and scrap; powders"
"8106009000","8106 00 90","80","0.0%","","Other"
"8107000000","8107","80","","","Cadmium and articles thereof; including waste and scrap"
"8107200000","8107 20","80","0.0%","","Unwrought cadmium; powders"
"8107300000","8107 30","80","0.0%","","Waste and scrap"
"8107900000","8107 90","80","0.0%","","Other"
"8108000000","8108","80","","","Titanium and articles thereof; including waste and scrap"
"8108200000","8108 20","80","0.0%","","Unwrought titanium; powders"
"8108300000","8108 30","80","0.0%","","Waste and scrap"
"8108900000","8108 90","80","","","Other"
"8108903000","8108 90 30","80","0.0%","","Bars; rods; profiles and wire"
"8108905000","8108 90 50","80","0.0%","","Plates; sheets; strip and foil"
"8108906000","8108 90 60","80","","","Tubes and pipes"
