"0700000000","0700","80","","","EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS"
"0701000000","0701","80","","","Potatoes; fresh or chilled"
"0701100000","0701 10","80","0.0%","","Seed"
"0701900000","0701 90","80","","","Other"
"0701901000","0701 90 10","80","AU","Code reserved for authorised use; the duty rate is specified under regulations made under section 19 of the Taxation (Cross-border Trade) Act 2018","For the manufacture of starch"
"0701905000","","10","","","Other"
"0701905000","0701 90 50","80","0.0%","","New; from 1 January to 30 June"
"0701909000","0701 90 90","80","0.0%","","Other"
"0702000000","0702","80","0.0%","","Tomatoes; fresh or chilled"
"0703000000","0703","80","","","Onions; shallots; garlic; leeks and other alliaceous vegetables; fresh or chilled"
"0703100000","0703 10","80","","","Onions and shallots"
"0703101100","","10","","","Onions"
"0703101100","0703 10 11","80","0.0%","","Sets"
"0703101900","0703 10 19","80","0.0%","","Other"
"0703109000","0703 10 90","80","0.0%","","Shallots"
"0703200000","0703 20","80","0.0%","","Garlic"
"0703900000","0703 90","80","0.0%","","Leeks and other alliaceous vegetables"
"0704000000","0704","80","","","Cabbages; cauliflowers; kohlrabi; kale and similar edible brassicas; fresh or chilled"
"0704100000","0704 10","80","0.0%","","Cauliflowers and headed broccoli"
"0704200000","0704 20","80","0.0%","","Brussels sprouts"
"0704900000","0704 90","80","","","Other"
"0704901000","0704 90 10","80","0.0%","","White cabbages and red cabbages"
"0704909000","0704 90 90","80","0.0%","","Other"
"0705000000","0705","80","","","Lettuce (Lactuca sativa) and chicory (Cichorium spp.); fresh or chilled"
"0705110000","","10","","","Lettuce"
"0705110000","0705 11","80","0.0%","","Cabbage lettuce (head lettuce)"
"0705190000","0705 19","80","0.0%","","Other"
"0705210000","","10","","","Chicory"
"0705210000","0705 21","80","0.0%","","Witloof chicory (Cichorium intybus var. foliosum)"
"0705290000","0705 29","80","0.0%","","Other"
"0706000000","0706","80","","","Carrots; turnips; salad beetroot; salsify; celeriac; radishes and similar edible roots; fresh or chilled"
"0706100000","0706 10","80","0.0%","","Carrots and turnips"
"0706900000","0706 90","80","","","Other"
"0706901000","0706 90 10","80","0.0%","","Celeriac (rooted celery or German celery)"
"0706903000","0706 90 30","80","0.0%","","Horseradish (Cochlearia armoracia)"
"0706909000","0706 90 90","80","0.0%","","Other"
"0707000000","0707","80","","","Cucumbers and gherkins; fresh or chilled"
"0707000500","0707 00 05","80","","","Cucumbers"
"0707000510","","10","","","Intended for processing"
"0707000510","0707 00 05 10","80","AU","Code reserved for authorised use; the duty rate is specified under regulations made under section 19 of the Taxation (Cross-border Trade) Act 2018","Small cucumbers of a length not exceeding 15 cm"
"0707000520","0707 00 05 20","80","AU","Code reserved for authorised use; the duty rate is specified under regulations made under section 19 of the Taxation (Cross-border Trade) Act 2018","Other"
"0707000590","","10","","","Other"
"0707009000","0707 00 90","80","0.0%","","Gherkins"
"0708000000","0708","80","","","Leguminous vegetables; shelled or unshelled; fresh or chilled"
"0708100000","0708 10","80","0.0%","","Peas (Pisum sativum)"
"0708200000","0708 20","80","10.4% MIN 1.600 € / 100 kg","","Beans (Vigna spp.; Phaseolus spp.)"
"0708900000","0708 90","80","0.0%","","Other leguminous vegetables"
"0709000000","0709","80","","","Other vegetables; fresh or chilled"
"0709200000","0709 20","80","0.0%","","Asparagus"
"0709300000","0709 30","80","0.0%","","Aubergines (eggplants)"
"0709400000","0709 40","80","0.0%","","Celery other than celeriac"
"0709510000","","10","","","Mushrooms and truffles"
"0709510000","0709 51","80","0.0%","","Mushrooms of the genus Agaricus "
"0709590000","0709 59","80","","","Other"
"0709591000","0709 59 10","80","0.0%","","Chanterelles"
"0709593000","0709 59 30","80","0.0%","","Flap mushrooms"
"0709595000","0709 59 50","80","0.0%","","Truffles"
"0709599000","0709 59 90","80","0.0%","","Other"
"0709600000","0709 60","80","","","Fruits of the genus Capsicum or of the genus Pimenta "
"0709601000","0709 60 10","80","0.0%","","Sweet peppers"
"0709609100","","10","","","Other"
"0709609100","0709 60 91","80","AU","Code reserved for authorised use; the duty rate is specified under regulations made under section 19 of the Taxation (Cross-border Trade) Act 2018","Of the genus Capsicum; for the manufacture of capsaicin or capsicum oleoresin dyes"
"0709609500","0709 60 95","80","AU","Code reserved for authorised use; the duty rate is specified under regulations made under section 19 of the Taxation (Cross-border Trade) Act 2018","For the industrial manufacture of essential oils or resinoids"
"0709609900","0709 60 99","80","0.0%","","Other"
"0709700000","0709 70","80","0.0%","","Spinach; New Zealand spinach and orache spinach (garden spinach)"
"0709910000","","10","","","Other"
"0709910000","0709 91","80","0.0%","","Globe artichokes"
"0709920000","0709 92","80","","","Olives"
"0709921000","0709 92 10","80","AU","Code reserved for authorised use; the duty rate is specified under regulations made under section 19 of the Taxation (Cross-border Trade) Act 2018","For uses other than the production of oil"
"0709929000","0709 92 90","80","0.0%","","Other"
"0709930000","0709 93","80","","","Pumpkins; squash and gourds (Cucurbita spp.)"
"0709931000","0709 93 10","80","0.0%","","Courgettes"
"0709939000","0709 93 90","80","0.0%","","Other"
"0709990000","0709 99","80","","","Other"
