"2300000000","2300","80","","","RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODDER"
"2301000000","2301","80","","","Flours; meals and pellets; of meat or meat offal; of fish or of crustaceans; molluscs or other aquatic invertebrates; unfit for human consumption; greaves"
"2301100000","2301 10","80","0.0%","","Flours; meals and pellets; of meat or meat offal; greaves"
"2301200000","2301 20","80","0.0%","","Flours; meals and pellets; of fish or of crustaceans; molluscs or other aquatic invertebrates"
"2302000000","2302","80","","","Bran; sharps and other residues; whether or not in the form of pellets; derived from the sifting; milling or other working of cereals or of leguminous plants"
"2302100000","2302 10","80","","","Of maize (corn)"
"2302101000","2302 10 10","80","0.0%","","With a starch content not exceeding 35% by weight"
"2302109000","2302 10 90","80","0.0%","","Other"
"2302300000","2302 30","80","","","Of wheat"
"2302301000","2302 30 10","80","0.0%","","Of which the starch content does not exceed 28% by weight; and of which the proportion that passes through a sieve with an aperture of 0.2 mm does not exceed 10% by weight or alternatively the proportion that passes through the sieve has an ash content; calculated on the dry product; equal to or more than 1.5% by weight"
"2302309000","2302 30 90","80","0.0%","","Other"
"2302400000","2302 40","80","","","Of other cereals"
"2302400200","","10","","","Of rice"
"2302400200","2302 40 02","80","0.0%","","With a starch content not exceeding 35% by weight"
"2302400800","2302 40 08","80","0.0%","","Other"
"2302401000","","10","","","Other"
"2302401000","2302 40 10","80","0.0%","","Of which the starch content does not exceed 28% by weight; and of which the proportion that passes through a sieve with an aperture of 0.2 mm does not exceed 10% by weight or alternatively the proportion that passes through the sieve has an ash content; calculated on the dry product; equal to or more than 1.5% by weight"
"2302409000","2302 40 90","80","0.0%","","Other"
"2302500000","2302 50","80","0.0%","","Of leguminous plants"
"2303000000","2303","80","","","Residues of starch manufacture and similar residues; beet-pulp; bagasse and other waste of sugar manufacture; brewing or distilling dregs and waste; whether or not in the form of pellets"
"2303100000","2303 10","80","","","Residues of starch manufacture and similar residues"
"2303101100","","10","","","Residues from the manufacture of starch from maize (excluding concentrated steeping liquors); of a protein content; calculated on the dry product"
"2303101100","2303 10 11","80","0.0%","","Exceeding 40% by weight"
"2303101900","2303 10 19","80","0.0%","","Not exceeding 40% by weight"
"2303109000","2303 10 90","80","0.0%","","Other"
"2303200000","2303 20","80","","","Beet-pulp; bagasse and other waste of sugar manufacture"
"2303201000","2303 20 10","80","0.0%","","Beet-pulp"
"2303209000","2303 20 90","80","0.0%","","Other"
"2303300000","2303 30","80","0.0%","","Brewing or distilling dregs and waste"
"2304000000","2304","80","0.0%","","Oilcake and other solid residues; whether or not ground or in the form of pellets; resulting from the extraction of soya-bean oil"
"2305000000","2305","80","0.0%","","Oilcake and other solid residues; whether or not ground or in the form of pellets; resulting from the extraction of groundnut oil"
"2306000000","2306","80","","","Oilcake and other solid residues; whether or not ground or in the form of pellets; resulting from the extraction of vegetable fats or oils; other than those of heading 2304 or 2305"
"2306100000","2306 10","80","0.0%","","Of cotton seeds"
"2306200000","2306 20","80","0.0%","","Of linseed"
"2306300000","2306 30","80","0.0%","","Of sunflower seeds"
"2306410000","","10","","","Of rape or colza seeds"
"2306410000","2306 41","80","0.0%","","Of low erucic acid rape or colza seeds"
