"0800000000","0800","80","","","EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUIT OR MELONS"
"0801000000","0801","80","","","Coconuts; Brazil nuts and cashew nuts; fresh or dried; whether or not shelled or peeled"
"0801110000","","10","","","Coconuts"
"0801110000","0801 11","80","0.0%","","Desiccated"
"0801120000","0801 12","80","0.0%","","In the inner shell (endocarp)"
"0801190000","0801 19","80","0.0%","","Other"
"0801210000","","10","","","Brazil nuts"
"0801210000","0801 21","80","0.0%","","In shell"
"0801220000","0801 22","80","0.0%","","Shelled"
"0801310000","","10","","","Cashew nuts"
"0801310000","0801 31","80","0.0%","","In shell"
"0801320000","0801 32","80","0.0%","","Shelled"
"0802000000","0802","80","","","Other nuts; fresh or dried; whether or not shelled or peeled"
"0802110000","","10","","","Almonds"
"0802110000","0802 11","80","","","In shell"
"0802111000","0802 11 10","80","0.0%","","Bitter"
"0802119000","0802 11 90","80","0.0%","","Other"
"0802120000","0802 12","80","","","Shelled"
"0802121000","0802 12 10","80","0.0%","","Bitter"
"0802129000","0802 12 90","80","0.0%","","Other"
"0802210000","","10","","","Hazelnuts or filberts (Corylus spp.)"
"0802210000","0802 21","80","0.0%","","In shell"
"0802220000","0802 22","80","0.0%","","Shelled"
"0802310000","","10","","","Walnuts"
"0802310000","0802 31","80","0.0%","","In shell"
"0802320000","0802 32","80","0.0%","","Shelled"
"0802410000","","10","","","Chestnuts (Castanea s pp.)"
"0802410000","0802 41","80","0.0%","","In shell"
"0802420000","0802 42","80","0.0%","","Shelled"
"0802510000","","10","","","Pistachios"
"0802510000","0802 51","80","0.0%","","In shell"
"0802520000","0802 52","80","0.0%","","Shelled"
"0802610000","","10","","","Macadamia nuts"
"0802610000","0802 61","80","0.0%","","In shell"
"0802620000","0802 62","80","0.0%","","Shelled"
"0802700000","0802 70","80","0.0%","","Kola nuts (Cola spp.)"
"0802800000","0802 80","80","0.0%","","Areca nuts"
"0802900000","0802 90","80","","","Other"
"0802901000","0802 90 10","80","0.0%","","Pecans"
"0802905000","0802 90 50","80","0.0%","","Pine nuts (Pinus spp.)"
"0802908500","0802 90 85","80","0.0%","","Other"
"0803000000","0803","80","","","Bananas; including plantains; fresh or dried"
"0803100000","0803 10","80","","","Plantains"
"0803101000","0803 10 10","80","0.0%","","Fresh"
"0803109000","0803 10 90","80","0.0%","","Dried"
"0803900000","0803 90","80","","","Other"
"0803901000","0803 90 10","80","117.000 € / tonne","","Fresh"
"0803909000","0803 90 90","80","16.0%","","Dried"
"0804000000","0804","80","","","Dates; figs; pineapples; avocados; guavas; mangoes and mangosteens; fresh or dried"
"0804100000","0804 10","80","0.0%","","Dates"
"0804200000","0804 20","80","","","Figs"
"0804201000","0804 20 10","80","0.0%","","Fresh"
"0804209000","0804 20 90","80","0.0%","","Dried"
"0804300000","0804 30","80","0.0%","","Pineapples"
"0804400000","0804 40","80","0.0%","","Avocados"
"0804500000","0804 50","80","0.0%","","Guavas; mangoes and mangosteens"
"0805000000","0805","80","","","Citrus fruit; fresh or dried"
"0805100000","0805 10","80","","","Oranges"
"0805102200","","10","","","Sweet oranges; fresh"
"0805102200","0805 10 22","80","0.0%","","Navel oranges"
"0805102400","0805 10 24","80","0.0%","","White oranges"
"0805102800","0805 10 28","80","0.0%","","Other"
"0805108000","0805 10 80","80","0.0%","","Other"
"0805210000","","10","","","Mandarins (including tangerines and satsumas); clementines; wilkings and similar citrus hybrids"
"0805210000","0805 21","80","","","Mandarins (including tangerines and satsumas)"
"0805211000","0805 21 10","80","0.0%","","Satsumas"
"0805219000","0805 21 90","80","0.0%","","Other"
"0805220000","0805 22","80","0.0%","","Clementines"
"0805290000","0805 29","80","0.0%","","Other"
"0805400000","0805 40","80","0.0%","","Grapefruit; including pomelos"
"0805500000","0805 50","80","","","Lemons (Citrus limon; Citrus limon um) and limes (Citrus aurantifolia; Citrus latifolia)"
"0805501000","0805 50 10","80","0.0%","","Lemons (Citrus limon; Citrus limon um)"
"0805509000","0805 50 90","80","0.0%","","Limes (Citrus aurantifolia; Citrus latifolia)"
"0805900000","0805 90","80","0.0%","","Other"
"0806000000","0806","80","","","Grapes; fresh or dried"
"0806100000","0806 10","80","","","Fresh"
"0806101000","0806 10 10","80","0.0%","","Table grapes"
"0806109000","0806 10 90","80","0.0%","","Other"
"0806200000","0806 20","80","","","Dried"
"0806201000","0806 20 10","80","0.0%","","Currants"
"0806203000","0806 20 30","80","0.0%","","Sultanas"
"0806209000","0806 20 90","80","0.0%","","Other"
"0807000000","0807","80","","","Melons (including watermelons) and papaws (papayas); fresh"
"0807110000","","10","","","Melons (including watermelons)"
"0807110000","0807 11","80","0.0%","","Watermelons"
"0807190000","0807 19","80","0.0%","","Other"
"0807200000","0807 20","80","0.0%","","Papaws (papayas)"
"0808000000","0808","80","","","Apples; pears and quinces; fresh"
"0808100000","0808 10","80","","","Apples"
"0808101000","0808 10 10","80","0.0%","","Cider apples; in bulk; from 16 September to 15 December"
"0808108000","0808 10 80","80","0.0%","","Other"
"0808300000","0808 30","80","","","Pears"
"0808301000","0808 30 10","80","0.0%","","Perry pears; in bulk; from 1 August to 31 December"
"0808309000","0808 30 90","80","0.0%","","Other"
"0808400000","0808 40","80","0.0%","","Quinces"
"0809000000","0809","80","","","Apricots; cherries; peaches (including nectarines); plums and sloes; fresh"
"0809100000","0809 10","80","0.0%","","Apricots"
"0809210000","","10","","","Cherries"
"0809210000","0809 21","80","0.0%","","Sour cherries (Prunus cerasus)"
"0809290000","0809 29","80","0.0%","","Other"
"0809300000","0809 30","80","","","Peaches; including nectarines"
"0809301000","0809 30 10","80","0.0%","","Nectarines"
"0809309000","0809 30 90","80","0.0%","","Other"
"0809400000","0809 40","80","","","Plums and sloes"
"0809400500","0809 40 05","80","0.0%","","Plums"
"0809409000","0809 40 90","80","0.0%","","Sloes"
"0810000000","0810","80","","","Other fruit; fresh"
"0810100000","0810 10","80","0.0%","","Strawberries"
"0810200000","0810 20","80","","","Raspberries; blackberries; mulberries and loganberries"
"0810201000","0810 20 10","80","0.0%","","Raspberries"
"0810209000","0810 20 90","80","0.0%","","Other"
"0810300000","0810 30","80","","","Black-; white- or redcurrants and gooseberries"
"0810301000","0810 30 10","80","0.0%","","Blackcurrants"
"0810303000","0810 30 30","80","0.0%","","Redcurrants"
"0810309000","0810 30 90","80","0.0%","","Other"
"0810400000","0810 40","80","","","Cranberries; bilberries and other fruit of the genus Vaccinium "
"0810401000","0810 40 10","80","0.0%","","Cowberries; foxberries or mountain cranberries (fruit of the species Vaccinium vitis-idaea)"
"0810403000","0810 40 30","80","0.0%","","Fruit of the species Vaccinium myrtillus "
"0810405000","0810 40 50","80","0.0%","","Fruit of the species Vaccinium macrocarpon and Vaccinium corymbosum "
"0810409000","0810 40 90","80","0.0%","","Other"
"0810500000","0810 50","80","0.0%","","Kiwifruit"
"0810600000","0810 60","80","0.0%","","Durians"
"0810700000","0810 70","80","0.0%","","Persimmons"
"0810900000","0810 90","80","","","Other"
"0810902000","0810 90 20","80","0.0%","","Tamarinds; cashew apples; lychees; jackfruit; sapodilla plums; passion fruit; carambola and pitahaya"
"0810907500","0810 90 75","80","0.0%","","Other"
"0811000000","0811","80","","","Fruit and nuts; uncooked or cooked by steaming or boiling in water; frozen; whether or not containing added sugar or other sweetening matter"
"0811100000","0811 10","80","","","Strawberries"
"0811101100","","10","","","Containing added sugar or other sweetening matter"
"0811101100","0811 10 11","80","0.0%","","With a sugar content exceeding 13% by weight"
"0811101900","0811 10 19","80","0.0%","","Other"
"0811109000","0811 10 90","80","0.0%","","Other"
"0811200000","0811 20","80","","","Raspberries; blackberries; mulberries; loganberries; black-; white- or redcurrants and gooseberries"
"0811201100","","10","","","Containing added sugar or other sweetening matter"
"0811201100","0811 20 11","80","0.0%","","With a sugar content exceeding 13% by weight"
"0811201900","0811 20 19","80","0.0%","","Other"
"0811203100","","10","","","Other"
"0811203100","0811 20 31","80","0.0%","","Raspberries"
"0811203900","0811 20 39","80","0.0%","","Blackcurrants"
"0811205100","0811 20 51","80","0.0%","","Redcurrants"
"0811205900","0811 20 59","80","0.0%","","Blackberries and mulberries"
"0811209000","0811 20 90","80","0.0%","","Other"
"0811900000","0811 90","80","","","Other"
"0811901100","","10","","","Containing added sugar or other sweetening matter"
"0811901100","","20","","","With a sugar content exceeding 13% by weight"
"0811901100","0811 90 11","80","0.0%","","Tropical fruit and tropical nuts"
"0811901900","0811 90 19","80","0.0%","","Other"
"0811903100","","10","","","Other"
"0811903100","0811 90 31","80","0.0%","","Tropical fruit and tropical nuts"
"0811903900","0811 90 39","80","0.0%","","Other"
"0811905000","","10","","","Other"
"0811905000","0811 90 50","80","0.0%","","Fruit of the species Vaccinium myrtillus "
"0811907000","0811 90 70","80","0.0%","","Fruit of the species Vaccinium myrtilloides and Vaccinium angustifolium "
"0811907500","","10","","","Cherries"
"0811907500","0811 90 75","80","0.0%","","Sour cherries (Prunus cerasus)"
"0811908000","0811 90 80","80","0.0%","","Other"
"0811908500","0811 90 85","80","0.0%","","Tropical fruit and tropical nuts"
"0811909500","0811 90 95","80","0.0%","","Other"
"0812000000","0812","80","","","Fruit and nuts; provisionally preserved (for example; by sulphur dioxide gas; in brine; in sulphur water or in other preservative solutions); but unsuitable in that state for immediate consumption"
"0812100000","0812 10","80","0.0%","","Cherries"
"0812900000","0812 90","80","","","Other"
"0812902500","0812 90 25","80","0.0%","","Apricots; oranges"
"0812903000","0812 90 30","80","0.0%","","Papaws (papayas)"
"0812904000","0812 90 40","80","0.0%","","Fruit of the species Vaccinium myrtillus "
"0812907000","0812 90 70","80","0.0%","","Guavas; mangoes; mangosteens; tamarinds; cashew apples; lychees; jackfruit; sapodillo plums; passion fruit; carambola; pitahaya and tropical nuts"
"0812909800","0812 90 98","80","0.0%","","Other"
"0813000000","0813","80","","","Fruit; dried; other than that of headings 0801 to 0806; mixtures of nuts or dried fruits of this chapter"
"0813100000","0813 10","80","0.0%","","Apricots"
"0813200000","0813 20","80","0.0%","","Prunes"
"0813300000","0813 30","80","0.0%","","Apples"
"0813400000","0813 40","80","","","Other fruit"
"0813401000","0813 40 10","80","0.0%","","Peaches; including nectarines"
"0813403000","0813 40 30","80","0.0%","","Pears"
"0813405000","0813 40 50","80","0.0%","","Papaws (papayas)"
"0813406500","0813 40 65","80","0.0%","","Tamarinds; cashew apples; lychees; jackfruit; sapodillo plums; passion fruit; carambola and pitahaya"
"0813409500","0813 40 95","80","0.0%","","Other"
"0813500000","0813 50","80","","","Mixtures of nuts or dried fruits of this chapter"
"0813501200","","10","","","Mixtures of dried fruit; other than that of headings 0801 to 0806"
"0813501200","","20","","","Not containing prunes"
