"2800000000","2800","80","","","INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS; OF RARE-EARTH METALS; OF RADIOACTIVE ELEMENTS OR OF ISOTOPES"
"2801000000","","10","","","I. CHEMICAL ELEMENTS"
"2801000000","2801","80","","","Fluorine; chlorine; bromine and iodine"
"2801100000","2801 10","80","0.0%","","Chlorine"
"2801200000","2801 20","80","0.0%","","Iodine"
"2801300000","2801 30","80","","","Fluorine; bromine"
"2801301000","2801 30 10","80","0.0%","","Fluorine"
"2801309000","2801 30 90","80","0.0%","","Bromine"
"2802000000","2802","80","0.0%","","Sulphur; sublimed or precipitated; colloidal sulphur"
"2803000000","2803","80","0.0%","","Carbon (carbon blacks and other forms of carbon not elsewhere specified or included)"
"2804000000","2804","80","","","Hydrogen; rare gases and other non-metals"
"2804100000","2804 10","80","0.0%","","Hydrogen"
"2804210000","","10","","","Rare gases"
"2804210000","2804 21","80","0.0%","","Argon"
"2804290000","2804 29","80","","","Other"
"2804291000","2804 29 10","80","0.0%","","Helium"
"2804299000","2804 29 90","80","0.0%","","Other"
"2804300000","2804 30","80","0.0%","","Nitrogen"
"2804400000","2804 40","80","0.0%","","Oxygen"
"2804500000","2804 50","80","","","Boron; tellurium"
"2804501000","2804 50 10","80","0.0%","","Boron"
"2804509000","2804 50 90","80","0.0%","","Tellurium"
"2804610000","","10","","","Silicon"
"2804610000","2804 61","80","0.0%","","Containing by weight not less than 99.99% of silicon"
"2804690000","2804 69","80","0.0%","","Other"
"2804700000","2804 70","80","0.0%","","Phosphorus"
"2804800000","2804 80","80","0.0%","","Arsenic"
"2804900000","2804 90","80","0.0%","","Selenium"
"2805000000","2805","80","","","Alkali or alkaline-earth metals; rare-earth metals; scandium and yttrium; whether or not intermixed or interalloyed; mercury"
"2805110000","","10","","","Alkali or alkaline-earth metals"
"2805110000","2805 11","80","0.0%","","Sodium"
"2805120000","2805 12","80","0.0%","","Calcium"
"2805190000","2805 19","80","","","Other"
"2805191000","2805 19 10","80","0.0%","","Strontium and barium"
"2805199000","2805 19 90","80","0.0%","","Other"
"2805300000","2805 30","80","","","Rare-earth metals; scandium and yttrium; whether or not intermixed or interalloyed"
"2805301000","2805 30 10","80","0.0%","","Intermixtures or interalloys"
"2805302000","","10","","","Other"
"2805302000","","20","","","Of a purity by weight of 95% or more"
"2805302000","2805 30 20","80","0.0%","","Cerium; lanthanum; praseodymium; neodymium and samarium"
