"1600000000","1600","80","","","PREPARATIONS OF MEAT; OF FISH OR OF CRUSTACEANS; MOLLUSCS OR OTHER AQUATIC INVERTEBRATES"
"1601000000","1601","80","","","Sausages and similar products; of meat; meat offal or blood; food preparations based on these products"
"1601001000","1601 00 10","80","0.0%","","Of liver"
"1601009100","","10","","","Other"
"1601009100","1601 00 91","80","0.0%","","Sausages; dry or for spreading; uncooked"
"1601009900","1601 00 99","80","0.0%","","Other"
"1602000000","1602","80","","","Other prepared or preserved meat; meat offal or blood"
"1602100000","1602 10","80","0.0%","","Homogenised preparations"
"1602200000","1602 20","80","","","Of liver of any animal"
"1602201000","1602 20 10","80","0.0%","","Goose or duck liver"
"1602209000","1602 20 90","80","0.0%","","Other"
"1602310000","","10","","","Of poultry of heading 0105"
"1602310000","1602 31","80","","","Of turkeys"
"1602311100","","10","","","Containing 57% or more by weight of poultry meat or offal"
"1602311100","1602 31 11","80","0.0%","","Containing exclusively uncooked turkey meat"
"1602311900","1602 31 19","80","0.0%","","Other"
"1602318000","1602 31 80","80","617.900 € / tonne","","Other"
"1602320000","1602 32","80","","","Of fowls of the species Gallus domesticus "
"1602321100","","10","","","Containing 57% or more by weight of poultry meat or offal"
"1602321100","1602 32 11","80","1668.500 € / tonne","","Uncooked"
"1602321900","1602 32 19","80","617.900 € / tonne","","Other"
"1602323000","1602 32 30","80","1668.500 € / tonne","","Containing 25% or more but less than 57% by weight of poultry meat or offal"
"1602329000","1602 32 90","80","1668.500 € / tonne","","Other"
"1602390000","1602 39","80","","","Other"
"1602392100","","10","","","Containing 57% or more by weight of poultry meat or offal"
"1602392100","1602 39 21","80","1668.500 € / tonne","","Uncooked"
"1602392900","1602 39 29","80","1668.500 € / tonne","","Other"
"1602398500","1602 39 85","80","1668.500 € / tonne","","Other"
"1602410000","","10","","","Of swine"
"1602410000","1602 41","80","","","Hams and cuts thereof"
"1602411000","1602 41 10","80","20.600 € / 100 kg","","Of domestic swine"
"1602419000","1602 41 90","80","1.4%","","Other"
"1602420000","1602 42","80","","","Shoulders and cuts thereof"
"1602421000","1602 42 10","80","17.000 € / 100 kg","","Of domestic swine"
"1602429000","1602 42 90","80","1.4%","","Other"
"1602490000","1602 49","80","","","Other; including mixtures"
"1602491100","","10","","","Of domestic swine"
"1602491100","","20","","","Containing by weight 80% or more of meat or meat offal; of any kind; including fats of any kind or origin"
