"0400000000","0400","80","","","DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PRODUCTS OF ANIMAL ORIGIN; NOT ELSEWHERE SPECIFIED OR INCLUDED"
"0401000000","0401","80","","","Milk and cream; not concentrated nor containing added sugar or other sweetening matter"
"0401100000","0401 10","80","","","Of a fat content; by weight; not exceeding 1%"
"0401101000","0401 10 10","80","0.0%","","In immediate packings of a net content not exceeding two litres"
"0401109000","0401 10 90","80","0.0%","","Other"
"0401200000","0401 20","80","","","Of a fat content; by weight; exceeding 1% but not exceeding 6%"
"0401201100","","10","","","Not exceeding 3%"
"0401201100","0401 20 11","80","0.0%","","In immediate packings of a net content not exceeding two litres"
"0401201900","0401 20 19","80","0.0%","","Other"
"0401209100","","10","","","Exceeding 3%"
"0401209100","0401 20 91","80","0.0%","","In immediate packings of a net content not exceeding two litres"
"0401209900","0401 20 99","80","0.0%","","Other"
"0401400000","0401 40","80","","","Of a fat content; by weight; exceeding 6% but not exceeding 10%"
"0401401000","0401 40 10","80","0.0%","","In immediate packings of a net content not exceeding two litres"
"0401409000","0401 40 90","80","0.0%","","Other"
"0401500000","0401 50","80","","","Of a fat content; by weight; exceeding 10%"
"0401501100","","10","","","Not exceeding 21%"
"0401501100","0401 50 11","80","0.0%","","In immediate packings of a net content not exceeding two litres"
"0401501900","0401 50 19","80","0.0%","","Other"
"0401503100","","10","","","Exceeding 21% but not exceeding 45%"
"0401503100","0401 50 31","80","0.0%","","In immediate packings of a net content not exceeding two litres"
"0401503900","0401 50 39","80","0.0%","","Other"
"0401509100","","10","","","Exceeding 45%"
"0401509100","0401 50 91","80","0.0%","","In immediate packings of a net content not exceeding two litres"
"0401509900","0401 50 99","80","0.0%","","Other"
"0402000000","0402","80","","","Milk and cream; concentrated or containing added sugar or other sweetening matter"
"0402100000","0402 10","80","","","In powder; granules or other solid forms; of a fat content; by weight; not exceeding 1.5%"
"0402101100","","10","","","Not containing added sugar or other sweetening matter"
"0402101100","0402 10 11","80","0.0%","","In immediate packings of a net content not exceeding 2.5kg"
"0402101900","0402 10 19","80","0.0%","","Other"
"0402109100","","10","","","Other"
"0402109100","0402 10 91","80","0.0%","","In immediate packings of a net content not exceeding 2.5kg"
"0402109900","0402 10 99","80","0.0%","","Other"
"0402210000","","10","","","In powder; granules or other solid forms; of a fat content; by weight; exceeding 1.5%"
"0402210000","0402 21","80","","","Not containing added sugar or other sweetening matter"
"0402211100","","10","","","Of a fat content; by weight; not exceeding 27%"
"0402211100","0402 21 11","80","0.0%","","In immediate packings of a net content not exceeding 2.5kg"
"0402211800","0402 21 18","80","0.0%","","Other"
"0402219100","","10","","","Of a fat content; by weight; exceeding 27%"
"0402219100","0402 21 91","80","0.0%","","In immediate packings of a net content not exceeding 2.5kg"
"0402219900","0402 21 99","80","0.0%","","Other"
"0402290000","0402 29","80","","","Other"
"0402291100","","10","","","Of a fat content; by weight; not exceeding 27%"
"0402291100","0402 29 11","80","0.0%","","Special milk; for infants; in hermetically sealed containers of a net content not exceeding 500 g; of a fat content; by weight; exceeding 10%"
"0402291500","","10","","","Other"
"0402291500","0402 29 15","80","0.0%","","In immediate packings of a net content not exceeding 2.5kg"
"0402291900","0402 29 19","80","0.0%","","Other"
"0402299100","","10","","","Of a fat content; by weight; exceeding 27%"
"0402299100","0402 29 91","80","0.0%","","In immediate packings of a net content not exceeding 2.5kg"
"0402299900","0402 29 99","80","0.0%","","Other"
"0402910000","","10","","","Other"
"0402910000","0402 91","80","","","Not containing added sugar or other sweetening matter"
"0402911000","0402 91 10","80","0.0%","","Of a fat content; by weight; not exceeding 8%"
"0402913000","0402 91 30","80","0.0%","","Of a fat content; by weight; exceeding 8% but not exceeding 10%"
"0402915100","","10","","","Of a fat content; by weight; exceeding 10% but not exceeding 45%"
"0402915100","0402 91 51","80","0.0%","","In immediate packings of a net content not exceeding 2.5kg"
"0402915900","0402 91 59","80","0.0%","","Other"
"0402919100","","10","","","Of a fat content; by weight; exceeding 45%"
"0402919100","0402 91 91","80","0.0%","","In immediate packings of a net content not exceeding 2.5kg"
"0402919900","0402 91 99","80","0.0%","","Other"
"0402990000","0402 99","80","","","Other"
"0402991000","0402 99 10","80","0.0%","","Of a fat content; by weight; not exceeding 9.5%"
"0402993100","","10","","","Of a fat content; by weight; exceeding 9.5% but not exceeding 45%"
