"8800000000","8800","80","","","AIRCRAFT; SPACECRAFT; AND PARTS THEREOF"
"8801000000","8801","80","","","Balloons and dirigibles; gliders; hang gliders and other non-powered aircraft"
"8801001000","8801 00 10","80","","","Balloons and dirigibles; gliders and hang gliders"
"8801001010","8801 00 10 10","80","AU","Code reserved for authorised use; the duty rate is specified under regulations made under section 19 of the Taxation (Cross-border Trade) Act 2018","For civil use"
"8801001090","8801 00 10 90","80","0.0%","","Other"
"8801009000","8801 00 90","80","","","Other"
"8801009010","8801 00 90 10","80","AU","Code reserved for authorised use; the duty rate is specified under regulations made under section 19 of the Taxation (Cross-border Trade) Act 2018","For civil use"
"8801009090","8801 00 90 90","80","0.0%","","Other"
"8802000000","8802","80","","","Other aircraft (for example; helicopters; aeroplanes); spacecraft (including satellites) and suborbital and spacecraft launch vehicles"
"8802110000","","10","","","Helicopters"
"8802110000","8802 11","80","","","Of an unladen weight not exceeding 2 000kg"
"8802110010","8802 11 00 10","80","AU","Code reserved for authorised use; the duty rate is specified under regulations made under section 19 of the Taxation (Cross-border Trade) Act 2018","For civil use"
"8802110090","8802 11 00 90","80","0.0%","","Other"
"8802120000","8802 12","80","","","Of an unladen weight exceeding 2 000kg"
"8802120010","8802 12 00 10","80","AU","Code reserved for authorised use; the duty rate is specified under regulations made under section 19 of the Taxation (Cross-border Trade) Act 2018","For civil use"
"8802120090","8802 12 00 90","80","0.0%","","Other"
"8802200000","8802 20","80","","","Aeroplanes and other aircraft; of an unladen weight not exceeding 2 000kg"
"8802200010","8802 20 00 10","80","AU","Code reserved for authorised use; the duty rate is specified under regulations made under section 19 of the Taxation (Cross-border Trade) Act 2018","For civil use"
"8802200090","8802 20 00 90","80","0.0%","","Other"
"8802300000","8802 30","80","","","Aeroplanes and other aircraft; of an unladen weight exceeding 2 000kg but not exceeding 15 000kg"
"8802300010","8802 30 00 10","80","AU","Code reserved for authorised use; the duty rate is specified under regulations made under section 19 of the Taxation (Cross-border Trade) Act 2018","For civil use"
"8802300090","8802 30 00 90","80","0.0%","","Other"
"8802400000","8802 40","80","","","Aeroplanes and other aircraft; of an unladen weight exceeding 15 000kg"
"8802400010","8802 40 00 10","80","AU","Code reserved for authorised use; the duty rate is specified under regulations made under section 19 of the Taxation (Cross-border Trade) Act 2018","For civil use"
"8802400090","8802 40 00 90","80","0.0%","","Other"
"8802600000","8802 60","80","","","Spacecraft (including satellites) and suborbital and spacecraft launch vehicles"
"8802601100","","10","","","Spacecraft (including satellites)"
"8802601100","8802 60 11","80","0.0%","","Telecommunication satellites"
"8802601900","8802 60 19","80","0.0%","","Other"
"8802609000","8802 60 90","80","0.0%","","Suborbital and spacecraft launch vehicles"
"8803000000","8803","80","","","Parts of goods of heading 8801 or 8802"
"8803100000","8803 10","80","","","Propellers and rotors and parts thereof"
