"7100000000","7100","80","","","NATURAL OR CULTURED PEARLS; PRECIOUS OR SEMI-PRECIOUS STONES; PRECIOUS METALS; METALS CLAD WITH PRECIOUS METAL; AND ARTICLES THEREOF; IMITATION JEWELLERY; COIN"
"7101000000","","10","","","I. NATURAL OR CULTURED PEARLS AND PRECIOUS OR SEMI-PRECIOUS STONES"
"7101000000","7101","80","","","Pearls; natural or cultured; whether or not worked or graded but not strung; mounted or set; pearls; natural or cultured; temporarily strung for convenience of transport"
"7101100000","7101 10","80","0.0%","","Natural pearls"
"7101210000","","10","","","Cultured pearls"
"7101210000","7101 21","80","0.0%","","Unworked"
"7101220000","7101 22","80","0.0%","","Worked"
"7102000000","7102","80","","","Diamonds; whether or not worked; but not mounted or set"
"7102100000","7102 10","80","0.0%","","Unsorted"
"7102210000","","10","","","Industrial"
"7102210000","7102 21","80","0.0%","","Unworked or simply sawn; cleaved or bruted"
"7102290000","7102 29","80","0.0%","","Other"
"7102310000","","10","","","Non-industrial"
"7102310000","7102 31","80","0.0%","","Unworked or simply sawn; cleaved or bruted"
"7102390000","7102 39","80","0.0%","","Other"
"7103000000","7103","80","","","Precious stones (other than diamonds) and semi-precious stones; whether or not worked or graded but not strung; mounted or set; ungraded precious stones (other than diamonds) and semi-precious stones; temporarily strung for convenience of transport"
"7103100000","7103 10","80","0.0%","","Unworked or simply sawn or roughly shaped"
"7103910000","","10","","","Otherwise worked"
"7103910000","7103 91","80","0.0%","","Rubies; sapphires and emeralds"
"7103990000","7103 99","80","0.0%","","Other"
"7104000000","7104","80","","","Synthetic or reconstructed precious or semi-precious stones; whether or not worked or graded but not strung; mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones; temporarily strung for convenience of transport"
"7104100000","7104 10","80","0.0%","","Piezoelectric quartz"
"7104200000","7104 20","80","0.0%","","Other; unworked or simply sawn or roughly shaped"
"7104900000","7104 90","80","0.0%","","Other"
"7105000000","7105","80","","","Dust and powder of natural or synthetic precious or semi-precious stones"
"7105100000","7105 10","80","0.0%","","Of diamonds"
"7105900000","7105 90","80","0.0%","","Other"
"7106000000","","10","","","II. PRECIOUS METALS AND METALS CLAD WITH PRECIOUS METAL"
"7106000000","7106","80","","","Silver (including silver plated with gold or platinum); unwrought or in semi-manufactured forms; or in powder form"
"7106100000","7106 10","80","0.0%","","Powder"
"7106910000","","10","","","Other"
"7106910000","7106 91","80","0.0%","","Unwrought"
"7106920000","7106 92","80","0.0%","","Semi-manufactured"
"7107000000","7107","80","0.0%","","Base metals clad with silver; not further worked than semi-manufactured"
"7108000000","7108","80","","","Gold (including gold plated with platinum); unwrought or in semi-manufactured forms; or in powder form"
"7108110000","","10","","","Non-monetary"
"7108110000","7108 11","80","0.0%","","Powder"
"7108120000","7108 12","80","0.0%","","Other unwrought forms"
"7108130000","7108 13","80","","","Other semi-manufactured forms"
"7108131000","7108 13 10","80","0.0%","","Bars; rods; wire and sections; plates; sheets and strips of a thickness; excluding any backing; exceeding 0.15 mm"
"7108138000","7108 13 80","80","0.0%","","Other"
"7108200000","7108 20","80","0.0%","","Monetary"
"7109000000","7109","80","0.0%","","Base metals or silver; clad with gold; not further worked than semi-manufactured"
"7110000000","7110","80","","","Platinum; unwrought or in semi-manufactured forms; or in powder form"
"7110110000","","10","","","Platinum"
"7110110000","7110 11","80","0.0%","","Unwrought or in powder form"
"7110190000","7110 19","80","","","Other"
"7110191000","7110 19 10","80","0.0%","","Bars; rods; wire and sections; plates; sheets and strips of a thickness; excluding any backing; exceeding 0.15 mm"
"7110198000","7110 19 80","80","0.0%","","Other"
"7110210000","","10","","","Palladium"
"7110210000","7110 21","80","0.0%","","Unwrought or in powder form"
"7110290000","7110 29","80","0.0%","","Other"
"7110310000","","10","","","Rhodium"
"7110310000","7110 31","80","0.0%","","Unwrought or in powder form"
"7110390000","7110 39","80","0.0%","","Other"
"7110410000","","10","","","Iridium; osmium and ruthenium"
"7110410000","7110 41","80","0.0%","","Unwrought or in powder form"
"7110490000","7110 49","80","0.0%","","Other"
"7111000000","7111","80","0.0%","","Base metals; silver or gold; clad with platinum; not further worked than semi-manufactured"
"7112000000","7112","80","","","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal or precious-metal compounds; of a kind used principally for the recovery of precious metal"
"7112300000","7112 30","80","0.0%","","Ash containing precious metal or precious-metal compounds"
"7112910000","","10","","","Other"
"7112910000","7112 91","80","0.0%","","Of gold; including metal clad with gold but excluding sweepings containing other precious metals"
"7112920000","7112 92","80","0.0%","","Of platinum; including metal clad with platinum but excluding sweepings containing other precious metals"
"7112990000","7112 99","80","0.0%","","Other"
"7113000000","","10","","","III. JEWELLERY; GOLDSMITHS' AND SILVERSMITHS' WARES AND OTHER ARTICLES"
"7113000000","7113","80","","","Articles of jewellery and parts thereof; of precious metal or of metal clad with precious metal"
"7113110000","","10","","","Of precious metal whether or not plated or clad with precious metal"
"7113110000","7113 11","80","0.0%","","Of silver; whether or not plated or clad with other precious metal"
"7113190000","7113 19","80","0.0%","","Of other precious metal; whether or not plated or clad with precious metal"
"7113200000","7113 20","80","0.0%","","Of base metal clad with precious metal"
"7114000000","7114","80","","","Articles of goldsmiths' or silversmiths' wares and parts thereof; of precious metal or of metal clad with precious metal"
"7114110000","","10","","","Of precious metal whether or not plated or clad with precious metal"
"7114110000","7114 11","80","0.0%","","Of silver; whether or not plated or clad with other precious metal"
"7114190000","7114 19","80","0.0%","","Of other precious metal; whether or not plated or clad with precious metal"
"7114200000","7114 20","80","0.0%","","Of base metal clad with precious metal"
"7115000000","7115","80","","","Other articles of precious metal or of metal clad with precious metal"
"7115100000","7115 10","80","0.0%","","Catalysts in the form of wire cloth or grill; of platinum"
"7115900000","7115 90","80","0.0%","","Other"
"7116000000","7116","80","","","Articles of natural or cultured pearls; precious or semi-precious stones (natural; synthetic or reconstructed)"
"7116100000","7116 10","80","0.0%","","Of natural or cultured pearls"
"7116200000","7116 20","80","","","Of precious or semi-precious stones (natural; synthetic or reconstructed)"
"7116201100","7116 20 11","80","0.0%","","Necklaces; bracelets and other articles made wholly of natural precious or semi-precious stones; simply strung without fasteners or other accessories"
"7116208000","7116 20 80","80","0.0%","","Other"
"7117000000","7117","80","","","Imitation jewellery"
"7117110000","","10","","","Of base metal; whether or not plated with precious metal"
"7117110000","7117 11","80","0.0%","","Cuff links and studs"
"7117190000","7117 19","80","0.0%","","Other"
"7117900000","7117 90","80","0.0%","","Other"
"7118000000","7118","80","","","Coin"
"7118100000","7118 10","80","0.0%","","Coin (other than gold coin); not being legal tender"
"7118900000","7118 90","80","0.0%","","Other"
