"5500000000","5500","80","","","MAN-MADE STAPLE FIBRES"
"5501000000","5501","80","","","Synthetic filament tow"
"5501100000","5501 10","80","0.0%","","Of nylon or other polyamides"
"5501200000","5501 20","80","0.0%","","Of polyesters"
"5501300000","5501 30","80","0.0%","","Acrylic or modacrylic"
"5501400000","5501 40","80","0.0%","","Of polypropylene"
"5501900000","5501 90","80","0.0%","","Other"
"5502000000","5502","80","","","Artificial filament tow"
"5502100000","5502 10","80","0.0%","","Of cellulose acetate"
"5502900000","5502 90","80","0.0%","","Other"
"5503000000","5503","80","","","Synthetic staple fibres; not carded; combed or otherwise processed for spinning"
"5503110000","","10","","","Of nylon or other polyamides"
"5503110000","5503 11","80","0.0%","","Of aramids"
"5503190000","5503 19","80","0.0%","","Other"
"5503200000","5503 20","80","0.0%","","Of polyesters"
"5503300000","5503 30","80","0.0%","","Acrylic or modacrylic"
"5503400000","5503 40","80","0.0%","","Of polypropylene"
"5503900000","5503 90","80","0.0%","","Other"
"5504000000","5504","80","","","Artificial staple fibres; not carded; combed or otherwise processed for spinning"
"5504100000","5504 10","80","0.0%","","Of viscose rayon"
"5504900000","5504 90","80","0.0%","","Other"
"5505000000","5505","80","","","Waste (including noils; yarn waste and garnetted stock) of man-made fibres"
"5505100000","5505 10","80","","","Of synthetic fibres"
"5505101000","5505 10 10","80","0.0%","","Of nylon or other polyamides"
"5505103000","5505 10 30","80","0.0%","","Of polyesters"
"5505105000","5505 10 50","80","0.0%","","Acrylic or modacrylic"
"5505107000","5505 10 70","80","0.0%","","Of polypropylene"
"5505109000","5505 10 90","80","0.0%","","Other"
"5505200000","5505 20","80","0.0%","","Of artificial fibres"
"5506000000","5506","80","","","Synthetic staple fibres; carded; combed or otherwise processed for spinning"
"5506100000","5506 10","80","0.0%","","Of nylon or other polyamides"
"5506200000","5506 20","80","0.0%","","Of polyesters"
"5506300000","5506 30","80","0.0%","","Acrylic or modacrylic"
"5506400000","5506 40","80","0.0%","","Of polypropylene"
"5506900000","5506 90","80","0.0%","","Other"
"5507000000","5507","80","0.0%","","Artificial staple fibres; carded; combed or otherwise processed for spinning"
"5508000000","5508","80","","","Sewing thread of man-made staple fibres; whether or not put up for retail sale"
"5508100000","5508 10","80","","","Of synthetic staple fibres"
"5508101000","5508 10 10","80","0.0%","","Not put up for retail sale"
"5508109000","5508 10 90","80","0.0%","","Put up for retail sale"
"5508200000","5508 20","80","","","Of artificial staple fibres"
"5508201000","5508 20 10","80","0.0%","","Not put up for retail sale"
"5508209000","5508 20 90","80","0.0%","","Put up for retail sale"
"5509000000","5509","80","","","Yarn (other than sewing thread) of synthetic staple fibres; not put up for retail sale"
"5509110000","","10","","","Containing 85% or more by weight of staple fibres of nylon or other polyamides"
"5509110000","5509 11","80","0.0%","","Single yarn"
"5509120000","5509 12","80","0.0%","","Multiple (folded) or cabled yarn"
"5509210000","","10","","","Containing 85% or more by weight of polyester staple fibres"
"5509210000","5509 21","80","0.0%","","Single yarn"
"5509220000","5509 22","80","0.0%","","Multiple (folded) or cabled yarn"
"5509310000","","10","","","Containing 85% or more by weight of acrylic or modacrylic staple fibres"
"5509310000","5509 31","80","0.0%","","Single yarn"
"5509320000","5509 32","80","0.0%","","Multiple (folded) or cabled yarn"
"5509410000","","10","","","Other yarn; containing 85% or more by weight of synthetic staple fibres"
"5509410000","5509 41","80","0.0%","","Single yarn"
"5509420000","5509 42","80","0.0%","","Multiple (folded) or cabled yarn"
"5509510000","","10","","","Other yarn; of polyester staple fibres"
"5509510000","5509 51","80","0.0%","","Mixed mainly or solely with artificial staple fibres"
"5509520000","5509 52","80","0.0%","","Mixed mainly or solely with wool or fine animal hair"
"5509530000","5509 53","80","0.0%","","Mixed mainly or solely with cotton"
"5509590000","5509 59","80","0.0%","","Other"
"5509610000","","10","","","Other yarn; of acrylic or modacrylic staple fibres"
"5509610000","5509 61","80","0.0%","","Mixed mainly or solely with wool or fine animal hair"
"5509620000","5509 62","80","0.0%","","Mixed mainly or solely with cotton"
"5509690000","5509 69","80","0.0%","","Other"
"5509910000","","10","","","Other yarn"
"5509910000","5509 91","80","0.0%","","Mixed mainly or solely with wool or fine animal hair"
"5509920000","5509 92","80","0.0%","","Mixed mainly or solely with cotton"
"5509990000","5509 99","80","0.0%","","Other"
"5510000000","5510","80","","","Yarn (other than sewing thread) of artificial staple fibres; not put up for retail sale"
"5510110000","","10","","","Containing 85% or more by weight of artificial staple fibres"
"5510110000","5510 11","80","0.0%","","Single yarn"
"5510120000","5510 12","80","0.0%","","Multiple (folded) or cabled yarn"
"5510200000","5510 20","80","0.0%","","Other yarn; mixed mainly or solely with wool or fine animal hair"
"5510300000","5510 30","80","0.0%","","Other yarn; mixed mainly or solely with cotton"
"5510900000","5510 90","80","0.0%","","Other yarn"
"5511000000","5511","80","","","Yarn (other than sewing thread) of man-made staple fibres; put up for retail sale"
"5511100000","5511 10","80","0.0%","","Of synthetic staple fibres; containing 85% or more by weight of such fibres"
"5511200000","5511 20","80","0.0%","","Of synthetic staple fibres; containing less than 85% by weight of such fibres"
"5511300000","5511 30","80","0.0%","","Of artificial staple fibres"
"5512000000","5512","80","","","Woven fabrics of synthetic staple fibres; containing 85% or more by weight of synthetic staple fibres"
"5512110000","","10","","","Containing 85% or more by weight of polyester staple fibres"
"5512110000","5512 11","80","0.0%","","Unbleached or bleached"
"5512190000","5512 19","80","","","Other"
"5512191000","5512 19 10","80","0.0%","","Printed"
"5512199000","5512 19 90","80","0.0%","","Other"
"5512210000","","10","","","Containing 85% or more by weight of acrylic or modacrylic staple fibres"
"5512210000","5512 21","80","0.0%","","Unbleached or bleached"
"5512290000","5512 29","80","","","Other"
"5512291000","5512 29 10","80","0.0%","","Printed"
"5512299000","5512 29 90","80","0.0%","","Other"
"5512910000","","10","","","Other"
"5512910000","5512 91","80","0.0%","","Unbleached or bleached"
"5512990000","5512 99","80","","","Other"
"5512991000","5512 99 10","80","0.0%","","Printed"
"5512999000","5512 99 90","80","0.0%","","Other"
"5513000000","5513","80","","","Woven fabrics of synthetic staple fibres; containing less than 85% by weight of such fibres; mixed mainly or solely with cotton; of a weight not exceeding 170 g/m<w:vertAlign w:val='superscript'/>2"
"5513110000","","10","","","Unbleached or bleached"
"5513110000","5513 11","80","","","Of polyester staple fibres; plain weave"
"5513112000","5513 11 20","80","0.0%","","Of a width of 165 cm or less"
"5513119000","5513 11 90","80","0.0%","","Of a width of more than 165 cm"
"5513120000","5513 12","80","0.0%","","3-thread or 4-thread twill; including cross twill; of polyester staple fibres"
"5513130000","5513 13","80","0.0%","","Other woven fabrics of polyester staple fibres"
"5513190000","5513 19","80","0.0%","","Other woven fabrics"
"5513210000","","10","","","Dyed"
"5513210000","5513 21","80","0.0%","","Of polyester staple fibres; plain weave"
"5513230000","5513 23","80","","","Other woven fabrics of polyester staple fibres"
"5513231000","5513 23 10","80","0.0%","","3-thread or 4-thread twill; including cross twill"
"5513239000","5513 23 90","80","0.0%","","Other"
"5513290000","5513 29","80","0.0%","","Other woven fabrics"
"5513310000","","10","","","Of yarns of different colours"
"5513310000","5513 31","80","0.0%","","Of polyester staple fibres; plain weave"
"5513390000","5513 39","80","0.0%","","Other woven fabrics"
"5513410000","","10","","","Printed"
"5513410000","5513 41","80","0.0%","","Of polyester staple fibres; plain weave"
"5513490000","5513 49","80","0.0%","","Other woven fabrics"
"5514000000","5514","80","","","Woven fabrics of synthetic staple fibres; containing less than 85% by weight of such fibres; mixed mainly or solely with cotton; of a weight exceeding 170 g/m<w:vertAlign w:val='superscript'/>2"
"5514110000","","10","","","Unbleached or bleached"
"5514110000","5514 11","80","0.0%","","Of polyester staple fibres; plain weave"
"5514120000","5514 12","80","0.0%","","3-thread or 4-thread twill; including cross twill; of polyester staple fibres"
"5514190000","5514 19","80","","","Other woven fabrics"
"5514191000","5514 19 10","80","0.0%","","Of polyester staple fibres"
"5514199000","5514 19 90","80","0.0%","","Other"
"5514210000","","10","","","Dyed"
"5514210000","5514 21","80","0.0%","","Of polyester staple fibres; plain weave"
"5514220000","5514 22","80","0.0%","","3-thread or 4-thread twill; including cross twill; of polyester staple fibres"
"5514230000","5514 23","80","0.0%","","Other woven fabrics of polyester staple fibres"
"5514290000","5514 29","80","0.0%","","Other woven fabrics"
"5514300000","5514 30","80","","","Of yarns of different colours"
