"9200000000","9200","80","","","MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES"
"9201000000","9201","80","","","Pianos; including automatic pianos; harpsichords and other keyboard stringed instruments"
"9201100000","9201 10","80","","","Upright pianos"
"9201101000","9201 10 10","80","0.0%","","New"
"9201109000","9201 10 90","80","0.0%","","Used"
"9201200000","9201 20","80","0.0%","","Grand pianos"
"9201900000","9201 90","80","0.0%","","Other"
"9202000000","9202","80","","","Other string musical instruments (for example; guitars; violins; harps)"
"9202100000","9202 10","80","","","Played with a bow"
"9202101000","9202 10 10","80","0.0%","","Violins"
"9202109000","9202 10 90","80","0.0%","","Other"
"9202900000","9202 90","80","","","Other"
"9202903000","9202 90 30","80","0.0%","","Guitars"
"9202908000","9202 90 80","80","0.0%","","Other"
"9205000000","9205","80","","","Wind musical instruments (for example; keyboard pipe organs; accordions; clarinets; trumpets; bagpipes); other than fairground organs and mechanical street organs"
"9205100000","9205 10","80","0.0%","","Brass-wind instruments"
"9205900000","9205 90","80","","","Other"
"9205901000","9205 90 10","80","0.0%","","Accordions and similar instruments"
"9205903000","9205 90 30","80","0.0%","","Mouth organs"
"9205905000","9205 90 50","80","0.0%","","Keyboard pipe organs; harmoniums and similar keyboard instruments with free metal reeds"
"9205909000","9205 90 90","80","0.0%","","Other"
"9206000000","9206","80","0.0%","","Percussion musical instruments (for example; drums; xylophones; cymbals; castanets; maracas)"
"9207000000","9207","80","","","Musical instruments; the sound of which is produced; or must be amplified; electrically (for example; organs; guitars; accordions)"
"9207100000","9207 10","80","","","Keyboard instruments; other than accordions"
"9207101000","9207 10 10","80","0.0%","","Organs"
"9207103000","9207 10 30","80","0.0%","","Digital pianos"
"9207105000","9207 10 50","80","0.0%","","Synthesisers"
"9207108000","9207 10 80","80","0.0%","","Other"
"9207900000","9207 90","80","","","Other"
"9207901000","9207 90 10","80","0.0%","","Guitars"
"9207909000","9207 90 90","80","0.0%","","Other"
"9208000000","9208","80","","","Musical boxes; fairground organs; mechanical street organs; mechanical singing birds; musical saws and other musical instruments not falling within any other heading of this chapter; decoy calls of all kinds; whistles; call horns and other mouth-blown sound signalling instruments"
"9208100000","9208 10","80","0.0%","","Musical boxes"
"9208900000","9208 90","80","0.0%","","Other"
"9209000000","9209","80","","","Parts (for example; mechanisms for musical boxes) and accessories (for example; cards; discs and rolls for mechanical instruments) of musical instruments; metronomes; tuning forks and pitch pipes of all kinds"
"9209300000","9209 30","80","0.0%","","Musical instrument strings"
"9209910000","","10","","","Other"
"9209910000","9209 91","80","0.0%","","Parts and accessories for pianos"
"9209920000","9209 92","80","0.0%","","Parts and accessories for the musical instruments of heading 9202"
"9209940000","9209 94","80","0.0%","","Parts and accessories for the musical instruments of heading 9207"
"9209990000","9209 99","80","","","Other"
"9209992000","9209 99 20","80","0.0%","","Parts and accessories for the musical instruments of heading 9205"
"9209994000","","10","","","Other"
"9209994000","9209 99 40","80","0.0%","","Metronomes; tuning forks and pitch pipes"
"9209995000","9209 99 50","80","0.0%","","Mechanisms for musical boxes"
"9209997000","9209 99 70","80","0.0%","","Other"
