"4900000000","4900","80","","","PRINTED BOOKS; NEWSPAPERS; PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS; TYPESCRIPTS AND PLANS"
"4901000000","4901","80","","","Printed books; brochures; leaflets and similar printed matter; whether or not in single sheets"
"4901100000","4901 10","80","0.0%","","In single sheets; whether or not folded"
"4901910000","","10","","","Other"
"4901910000","4901 91","80","0.0%","","Dictionaries and encyclopaedias; and serial instalments thereof"
"4901990000","4901 99","80","0.0%","","Other"
"4902000000","4902","80","","","Newspapers; journals and periodicals; whether or not illustrated or containing advertising material"
"4902100000","4902 10","80","0.0%","","Appearing at least four times a week"
"4902900000","4902 90","80","0.0%","","Other"
"4903000000","4903","80","0.0%","","Children's picture; drawing or colouring books"
"4904000000","4904","80","0.0%","","Music; printed or in manuscript; whether or not bound or illustrated"
"4905000000","4905","80","","","Maps and hydrographic or similar charts of all kinds; including atlases; wall maps; topographical plans and globes; printed"
"4905100000","4905 10","80","0.0%","","Globes"
"4905910000","","10","","","Other"
"4905910000","4905 91","80","0.0%","","In book form"
"4905990000","4905 99","80","0.0%","","Other"
"4906000000","4906","80","0.0%","","Plans and drawings for architectural; engineering; industrial; commercial; topographical or similar purposes; being originals drawn by hand; handwritten texts; photographic reproductions on sensitised paper and carbon copies of the foregoing"
"4907000000","4907","80","","","Unused postage; revenue or similar stamps of current or new issue in the country in which they have; or will have; a recognised face value; stamp-impressed paper; banknotes; cheque forms; stock; share or bond certificates and similar documents of title"
"4907001000","4907 00 10","80","0.0%","","Postage; revenue and similar stamps"
"4907003000","4907 00 30","80","0.0%","","Banknotes"
"4907009000","4907 00 90","80","0.0%","","Other"
"4908000000","4908","80","","","Transfers (decalcomanias)"
"4908100000","4908 10","80","0.0%","","Transfers (decalcomanias); vitrifiable"
"4908900000","4908 90","80","0.0%","","Other"
"4909000000","4909","80","0.0%","","Printed or illustrated postcards; printed cards bearing personal greetings; messages or announcements; whether or not illustrated; with or without envelopes or trimmings"
"4910000000","4910","80","0.0%","","Calendars of any kind; printed; including calendar blocks"
"4911000000","4911","80","","","Other printed matter; including printed pictures and photographs"
"4911100000","4911 10","80","","","Trade advertising material; commercial catalogues and the like"
"4911101000","4911 10 10","80","0.0%","","Commercial catalogues"
"4911109000","4911 10 90","80","0.0%","","Other"
"4911910000","","10","","","Other"
"4911910000","4911 91","80","0.0%","","Pictures; designs and photographs"
"4911990000","4911 99","80","0.0%","","Other"
