"7400000000","7400","80","","","COPPER AND ARTICLES THEREOF"
"7401000000","7401","80","0.0%","","Copper mattes; cement copper (precipitated copper)"
"7402000000","7402","80","0.0%","","Unrefined copper; copper anodes for electrolytic refining"
"7403000000","7403","80","","","Refined copper and copper alloys; unwrought"
"7403110000","","10","","","Refined copper"
"7403110000","7403 11","80","0.0%","","Cathodes and sections of cathodes"
"7403120000","7403 12","80","0.0%","","Wire-bars"
"7403130000","7403 13","80","0.0%","","Billets"
"7403190000","7403 19","80","0.0%","","Other"
"7403210000","","10","","","Copper alloys"
"7403210000","7403 21","80","0.0%","","Copper-zinc base alloys (brass)"
"7403220000","7403 22","80","0.0%","","Copper-tin base alloys (bronze)"
"7403290000","7403 29","80","0.0%","","Other copper alloys (other than master alloys of heading 7405)"
"7404000000","7404","80","","","Copper waste and scrap"
"7404001000","7404 00 10","80","0.0%","","Of refined copper"
"7404009100","","10","","","Of copper alloys"
"7404009100","7404 00 91","80","0.0%","","Of copper-zinc base alloys (brass)"
"7404009900","7404 00 99","80","0.0%","","Other"
"7405000000","7405","80","0.0%","","Master alloys of copper"
"7406000000","7406","80","","","Copper powders and flakes"
"7406100000","7406 10","80","0.0%","","Powders of non-lamellar structure"
"7406200000","7406 20","80","0.0%","","Powders of lamellar structure; flakes"
"7407000000","7407","80","","","Copper bars; rods and profiles"
"7407100000","7407 10","80","0.0%","","Of refined copper"
"7407210000","","10","","","Of copper alloys"
"7407210000","7407 21","80","","","Of copper-zinc base alloys (brass)"
"7407211000","7407 21 10","80","0.0%","","Bars and rods"
"7407219000","7407 21 90","80","0.0%","","Profiles"
"7407290000","7407 29","80","0.0%","","Other"
"7408000000","7408","80","","","Copper wire"
"7408110000","","10","","","Of refined copper"
"7408110000","7408 11","80","0.0%","","Of which the maximum cross-sectional dimension exceeds 6 mm"
"7408190000","7408 19","80","","","Other"
"7408191000","7408 19 10","80","0.0%","","Of which the maximum cross-sectional dimension exceeds 0.5 mm"
"7408199000","7408 19 90","80","0.0%","","Of which the maximum cross-sectional dimension does not exceed 0.5 mm"
"7408210000","","10","","","Of copper alloys"
"7408210000","7408 21","80","0.0%","","Of copper-zinc base alloys (brass)"
"7408220000","7408 22","80","0.0%","","Of copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver)"
"7408290000","7408 29","80","0.0%","","Other"
"7409000000","7409","80","","","Copper plates; sheets and strip; of a thickness exceeding 0.15 mm"
"7409110000","","10","","","Of refined copper"
"7409110000","7409 11","80","0.0%","","In coils"
"7409190000","7409 19","80","0.0%","","Other"
"7409210000","","10","","","Of copper-zinc base alloys (brass)"
"7409210000","7409 21","80","0.0%","","In coils"
"7409290000","7409 29","80","0.0%","","Other"
"7409310000","","10","","","Of copper-tin base alloys (bronze)"
"7409310000","7409 31","80","0.0%","","In coils"
"7409390000","7409 39","80","0.0%","","Other"
"7409400000","7409 40","80","0.0%","","Of copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver)"
"7409900000","7409 90","80","0.0%","","Of other copper alloys"
"7410000000","7410","80","","","Copper foil (whether or not printed or backed with paper; paperboard; plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0.15 mm"
"7410110000","","10","","","Not backed"
"7410110000","7410 11","80","0.0%","","Of refined copper"
"7410120000","7410 12","80","0.0%","","Of copper alloys"
"7410210000","","10","","","Backed"
"7410210000","7410 21","80","0.0%","","Of refined copper"
"7410220000","7410 22","80","0.0%","","Of copper alloys"
"7411000000","7411","80","","","Copper tubes and pipes"
"7411100000","7411 10","80","","","Of refined copper"
"7411101000","7411 10 10","80","0.0%","","Straight"
"7411109000","7411 10 90","80","0.0%","","Other"
"7411210000","","10","","","Of copper alloys"
"7411210000","7411 21","80","","","Of copper-zinc base alloys (brass)"
"7411211000","7411 21 10","80","0.0%","","Straight"
"7411219000","7411 21 90","80","0.0%","","Other"
"7411220000","7411 22","80","0.0%","","Of copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver)"
"7411290000","7411 29","80","0.0%","","Other"
"7412000000","7412","80","","","Copper tube or pipe fittings (for example; couplings; elbows; sleeves)"
"7412100000","7412 10","80","0.0%","","Of refined copper"
"7412200000","7412 20","80","0.0%","","Of copper alloys"
"7413000000","7413","80","","","Stranded wire; cables; plaited bands and the like; of copper; not electrically insulated"
