"0600000000","0600","80","","","LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE"
"0601000000","0601","80","","","Bulbs; tubers; tuberous roots; corms; crowns and rhizomes; dormant; in growth or in flower; chicory plants and roots other than roots of heading 1212"
"0601100000","0601 10","80","","","Bulbs; tubers; tuberous roots; corms; crowns and rhizomes; dormant"
"0601101000","0601 10 10","80","0.0%","","Hyacinths"
"0601102000","0601 10 20","80","0.0%","","Narcissi"
"0601103000","0601 10 30","80","0.0%","","Tulips"
"0601104000","0601 10 40","80","0.0%","","Gladioli"
"0601109000","0601 10 90","80","0.0%","","Other"
"0601200000","0601 20","80","","","Bulbs; tubers; tuberous roots; corms; crowns and rhizomes; in growth or in flower; chicory plants and roots"
"0601201000","0601 20 10","80","0.0%","","Chicory plants and roots"
"0601203000","0601 20 30","80","0.0%","","Orchids; hyacinths; narcissi and tulips"
"0601209000","0601 20 90","80","0.0%","","Other"
"0602000000","0602","80","","","Other live plants (including their roots); cuttings and slips; mushroom spawn"
"0602100000","0602 10","80","","","Unrooted cuttings and slips"
"0602101000","0602 10 10","80","0.0%","","Of vines"
"0602109000","0602 10 90","80","0.0%","","Other"
"0602200000","0602 20","80","","","Trees; shrubs and bushes; grafted or not; of kinds which bear edible fruit or nuts"
"0602201000","0602 20 10","80","0.0%","","Vine slips; grafted or rooted"
"0602202000","","10","","","Other"
"0602202000","0602 20 20","80","0.0%","","With bare roots"
"0602203000","","10","","","Other"
"0602203000","0602 20 30","80","0.0%","","Citrus"
"0602208000","0602 20 80","80","0.0%","","Other"
"0602300000","0602 30","80","0.0%","","Rhododendrons and azaleas; grafted or not"
"0602400000","0602 40","80","0.0%","","Roses; grafted or not"
"0602900000","0602 90","80","","","Other"
"0602901000","0602 90 10","80","0.0%","","Mushroom spawn"
"0602902000","0602 90 20","80","0.0%","","Pineapple plants"
"0602903000","0602 90 30","80","0.0%","","Vegetable and strawberry plants"
"0602904100","","10","","","Other"
"0602904100","","20","","","Outdoor plants"
"0602904100","","30","","","Trees; shrubs and bushes"
"0602904100","0602 90 41","80","0.0%","","Forest trees"
"0602904500","","10","","","Other"
"0602904500","0602 90 45","80","0.0%","","Rooted cuttings and young plants"
"0602904600","","10","","","Other"
"0602904600","0602 90 46","80","0.0%","","With bare roots"
"0602904700","","10","","","Other"
"0602904700","0602 90 47","80","0.0%","","Conifers and evergreens"
"0602904800","0602 90 48","80","0.0%","","Other"
"0602905000","0602 90 50","80","0.0%","","Other outdoor plants"
"0602907000","","10","","","Indoor plants"
"0602907000","0602 90 70","80","0.0%","","Rooted cuttings and young plants; excluding cacti"
"0602909100","","10","","","Other"
"0602909100","0602 90 91","80","0.0%","","Flowering plants with buds or flowers; excluding cacti"
"0602909900","0602 90 99","80","0.0%","","Other"
"0603000000","0603","80","","","Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes; fresh; dried; dyed; bleached; impregnated or otherwise prepared"
"0603110000","","10","","","Fresh"
"0603110000","0603 11","80","0.0%","","Roses"
"0603120000","0603 12","80","0.0%","","Carnations"
"0603130000","0603 13","80","0.0%","","Orchids"
"0603140000","0603 14","80","0.0%","","Chrysanthemums"
"0603150000","0603 15","80","0.0%","","Lilies (Lilium spp.)"
"0603190000","0603 19","80","","","Other"
"0603191000","0603 19 10","80","0.0%","","Gladioli"
"0603192000","0603 19 20","80","0.0%","","Ranunculi"
"0603197000","0603 19 70","80","0.0%","","Other"
"0603900000","0603 90","80","0.0%","","Other"
"0604000000","0604","80","","","Foliage; branches and other parts of plants; without flowers or flower buds; and grasses; mosses and lichens; being goods of a kind suitable for bouquets or for ornamental purposes; fresh; dried; dyed; bleached; impregnated or otherwise prepared"
"0604200000","0604 20","80","","","Fresh"
"0604201100","","10","","","Mosses and lichens"
"0604201100","0604 20 11","80","0.0%","","Reindeer moss"
"0604201900","0604 20 19","80","0.0%","","Other"
"0604202000","0604 20 20","80","0.0%","","Christmas trees"
"0604204000","0604 20 40","80","0.0%","","Conifer branches"
"0604209000","0604 20 90","80","0.0%","","Other"
"0604900000","0604 90","80","","","Other"
"0604901100","","10","","","Mosses and lichens"
"0604901100","0604 90 11","80","0.0%","","Reindeer moss"
"0604901900","0604 90 19","80","0.0%","","Other"
"0604909100","","10","","","Other"
"0604909100","0604 90 91","80","0.0%","","Not further prepared than dried"
"0604909900","0604 90 99","80","0.0%","","Other"
