"0300000000","0300","80","","","FISH AND CRUSTACEANS; MOLLUSCS AND OTHER AQUATIC INVERTEBRATES"
"0301000000","0301","80","","","Live fish"
"0301110000","","10","","","Ornamental fish"
"0301110000","0301 11","80","0.0%","","Freshwater fish"
"0301190000","0301 19","80","0.0%","","Other"
"0301910000","","10","","","Other live fish"
"0301910000","0301 91","80","","","Trout (Salmo trutta; Oncorhynchus mykiss; Oncorhynchus clarki; Oncorhynchus aguabonita; Oncorhynchus gilae; Oncorhynchus apache and Oncorhynchus chrysogaster)"
"0301911000","0301 91 10","80","0.0%","","Of the species Oncorhynchus apache or Oncorhynchus chrysogaster "
"0301919000","0301 91 90","80","","","Other"
"0301919011","","10","","","Of the species Oncorhynchus mykiss "
"0301919011","0301 91 90 11","80","12.0%","","Weighing 1.2kg or less each"
"0301919019","0301 91 90 19","80","0.0%","","Other"
"0301919090","0301 91 90 90","80","0.0%","","Other"
"0301920000","0301 92","80","","","Eels (Anguilla spp.)"
"0301921000","0301 92 10","80","0.0%","","Of a length of less than 12 cm"
"0301923000","0301 92 30","80","0.0%","","Of a length of 12 cm or more but less than 20 cm"
"0301929000","0301 92 90","80","0.0%","","Of a length of 20 cm or more"
"0301930000","0301 93","80","0.0%","","Carp (Cyprinus spp.; Carassius spp.; Ctenopharyngodon idellus; Hypophthalmichthys spp.; Cirrhinus spp.; Mylopharyngodon piceus; Catla catla; Labeo spp.; Osteochilus hasselti; Leptobarbus hoeveni; Megalobrama spp.)"
"0301940000","0301 94","80","","","Atlantic and Pacific bluefin tuna (Thunnus thynnus; Thunnus orientalis)"
"0301941000","0301 94 10","80","0.0%","","Atlantic bluefin tuna (Thunnus thynnus)"
"0301949000","0301 94 90","80","0.0%","","Pacific bluefin tuna (Thunnus orientalis)"
"0301950000","0301 95","80","0.0%","","Southern bluefin tuna (Thunnus maccoyii)"
"0301990000","0301 99","80","","","Other"
"0301991100","","10","","","Freshwater fish"
"0301991100","0301 99 11","80","0.0%","","Pacific salmon (Oncorhynchus nerka; Oncorhynchus gorbuscha; Oncorhynchus keta; Oncorhynchus tschawytscha; Oncorhynchus kisutch; Oncorhynchus masou and Oncorhynchus rhodurus); Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)"
"0301991700","0301 99 17","80","0.0%","","Other"
"0301998500","0301 99 85","80","0.0%","","Other"
"0302000000","0302","80","","","Fish; fresh or chilled; excluding fish fillets and other fish meat of heading 0304"
"0302110000","","10","","","Salmonidae; excluding edible fish offal of subheadings 0302 91 to 0302 99"
"0302110000","0302 11","80","","","Trout (Salmo trutta; Oncorhynchus mykiss; Oncorhynchus clarki; Oncorhynchus aguabonita; Oncorhynchus gilae; Oncorhynchus apache and Oncorhynchus chrysogaster)"
