"5700000000","5700","80","","","CARPETS AND OTHER TEXTILE FLOOR COVERINGS"
"5701000000","5701","80","","","Carpets and other textile floor coverings; knotted; whether or not made up"
"5701100000","5701 10","80","","","Of wool or fine animal hair"
"5701101000","5701 10 10","80","0.0%","","Containing a total of more than 10% by weight of silk or of waste silk other than noil"
"5701109000","5701 10 90","80","0.0%","Dutiable surface shall not include the heading; the selvedges and the fringes","Other"
"5701900000","5701 90","80","","","Of other textile materials"
"5701901000","5701 90 10","80","0.0%","","Of silk; of waste silk other than noil; of synthetic fibres; of yarn of heading 5605 or of textile materials containing metal threads"
"5701909000","5701 90 90","80","0.0%","","Of other textile materials"
"5702000000","5702","80","","","Carpets and other textile floor coverings; woven; not tufted or flocked; whether or not made up; including 'Kelem'; 'Schumacks'; 'Karamanie' and similar hand-woven rugs"
"5702100000","5702 10","80","0.0%","","'Kelem'; 'Schumacks'; 'Karamanie' and similar hand-woven rugs"
"5702200000","5702 20","80","0.0%","","Floor coverings of coconut fibres (coir)"
"5702310000","","10","","","Other; of pile construction; not made up"
"5702310000","5702 31","80","","","Of wool or fine animal hair"
"5702311000","5702 31 10","80","0.0%","","Axminster carpets"
"5702318000","5702 31 80","80","0.0%","","Other"
"5702320000","5702 32","80","0.0%","","Of man-made textile materials"
"5702390000","5702 39","80","0.0%","","Of other textile materials"
"5702410000","","10","","","Other; of pile construction; made up"
"5702410000","5702 41","80","","","Of wool or fine animal hair"
"5702411000","5702 41 10","80","0.0%","","Axminster carpets"
"5702419000","5702 41 90","80","0.0%","","Other"
"5702420000","5702 42","80","0.0%","","Of man-made textile materials"
"5702490000","5702 49","80","0.0%","","Of other textile materials"
"5702500000","5702 50","80","","","Other; not of pile construction; not made up"
"5702501000","5702 50 10","80","0.0%","","Of wool or fine animal hair"
"5702503100","","10","","","Of man-made textile materials"
"5702503100","5702 50 31","80","0.0%","","Of polypropylene"
"5702503900","5702 50 39","80","0.0%","","Other"
"5702509000","5702 50 90","80","0.0%","","Of other textile materials"
"5702910000","","10","","","Other; not of pile construction; made up"
"5702910000","5702 91","80","0.0%","","Of wool or fine animal hair"
"5702920000","5702 92","80","","","Of man-made textile materials"
"5702921000","5702 92 10","80","0.0%","","Of polypropylene"
"5702929000","5702 92 90","80","0.0%","","Other"
"5702990000","5702 99","80","0.0%","","Of other textile materials"
"5703000000","5703","80","","","Carpets and other textile floor coverings; tufted; whether or not made up"
"5703100000","5703 10","80","0.0%","","Of wool or fine animal hair"
"5703200000","5703 20","80","","","Of nylon or other polyamides"
"5703201200","","10","","","Printed"
"5703201200","5703 20 12","80","0.0%","","Tiles; having a maximum surface area of 1 m<w:vertAlign w:val='superscript'/>2"
"5703201800","5703 20 18","80","0.0%","","Other"
"5703209200","","10","","","Other"
"5703209200","5703 20 92","80","0.0%","","Tiles; having a maximum surface area of 1 m<w:vertAlign w:val='superscript'/>2"
"5703209800","5703 20 98","80","0.0%","","Other"
"5703300000","5703 30","80","","","Of other man-made textile materials"
"5703301200","","10","","","Of polypropylene"
"5703301200","5703 30 12","80","0.0%","","Tiles; having a maximum surface area of 1 m<w:vertAlign w:val='superscript'/>2"
"5703301800","5703 30 18","80","0.0%","","Other"
"5703308200","","10","","","Other"
"5703308200","5703 30 82","80","0.0%","","Tiles; having a maximum surface area of 1 m<w:vertAlign w:val='superscript'/>2"
"5703308800","5703 30 88","80","0.0%","","Other"
"5703900000","5703 90","80","","","Of other textile materials"
"5703902000","5703 90 20","80","0.0%","","Tiles; having a maximum surface area of 1 m<w:vertAlign w:val='superscript'/>2"
"5703908000","5703 90 80","80","0.0%","","Other"
"5704000000","5704","80","","","Carpets and other textile floor coverings; of felt; not tufted or flocked; whether or not made up"
"5704100000","5704 10","80","0.0%","","Tiles; having a maximum surface area of 0.3 m<w:vertAlign w:val='superscript'/>2"
"5704200000","5704 20","80","0.0%","","Tiles; having a maximum surface area exceeding 0.3 m<w:vertAlign w:val='superscript'/>2; but not exceeding 1 m<w:vertAlign w:val='superscript'/>2"
"5704900000","5704 90","80","0.0%","","Other"
"5705000000","5705","80","","","Other carpets and other textile floor coverings; whether or not made up"
"5705003000","5705 00 30","80","0.0%","","Of man-made textile materials"
"5705008000","5705 00 80","80","0.0%","","Of other textile materials"
