"5900000000","5900","80","","","IMPREGNATED; COATED; COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE"
"5901000000","5901","80","","","Textile fabrics coated with gum or amylaceous substances; of a kind used for the outer covers of books or the like; tracing cloth; prepared painting canvas; buckram and similar stiffened textile fabrics of a kind used for hat foundations"
"5901100000","5901 10","80","0.0%","","Textile fabrics coated with gum or amylaceous substances; of a kind used for the outer covers of books or the like"
"5901900000","5901 90","80","0.0%","","Other"
"5902000000","5902","80","","","Tyre cord fabric of high-tenacity yarn of nylon or other polyamides; polyesters or viscose rayon"
"5902100000","5902 10","80","","","Of nylon or other polyamides"
"5902101000","5902 10 10","80","0.0%","","Impregnated with rubber"
"5902109000","5902 10 90","80","0.0%","","Other"
"5902200000","5902 20","80","","","Of polyesters"
"5902201000","5902 20 10","80","0.0%","","Impregnated with rubber"
"5902209000","5902 20 90","80","0.0%","","Other"
"5902900000","5902 90","80","","","Other"
"5902901000","5902 90 10","80","0.0%","","Impregnated with rubber"
"5902909000","5902 90 90","80","0.0%","","Other"
"5903000000","5903","80","","","Textile fabrics impregnated; coated; covered or laminated with plastics; other than those of heading 5902"
"5903100000","5903 10","80","","","With poly(vinyl chloride)"
"5903101000","5903 10 10","80","0.0%","","Impregnated"
"5903109000","5903 10 90","80","0.0%","","Coated; covered or laminated"
"5903200000","5903 20","80","","","With polyurethane"
"5903201000","5903 20 10","80","0.0%","","Impregnated"
"5903209000","5903 20 90","80","0.0%","","Coated; covered or laminated"
"5903900000","5903 90","80","","","Other"
"5903901000","5903 90 10","80","0.0%","","Impregnated"
"5903909100","","10","","","Coated; covered or laminated"
"5903909100","5903 90 91","80","0.0%","","With cellulose derivatives or other plastics; with the fabric forming the right side"
"5903909900","5903 90 99","80","0.0%","","Other"
"5904000000","5904","80","","","Linoleum; whether or not cut to shape; floor coverings consisting of a coating or covering applied on a textile backing; whether or not cut to shape"
"5904100000","5904 10","80","0.0%","","Linoleum"
"5904900000","5904 90","80","0.0%","","Other"
"5905000000","5905","80","","","Textile wall coverings"
"5905001000","5905 00 10","80","0.0%","","Consisting of parallel yarns; fixed on a backing of any material"
"5905003000","","10","","","Other"
"5905003000","5905 00 30","80","0.0%","","Of flax"
"5905005000","5905 00 50","80","0.0%","","Of jute"
"5905007000","5905 00 70","80","0.0%","","Of man-made fibres"
"5905009000","5905 00 90","80","0.0%","","Other"
"5906000000","5906","80","","","Rubberised textile fabrics; other than those of heading 5902"
"5906100000","5906 10","80","0.0%","","Adhesive tape of a width not exceeding 20 cm"
"5906910000","","10","","","Other"
"5906910000","5906 91","80","0.0%","","Knitted or crocheted"
"5906990000","5906 99","80","","","Other"
"5906991000","5906 99 10","80","0.0%","","Fabrics mentioned in note 4(c) to this chapter"
"5906999000","5906 99 90","80","0.0%","","Other"
"5907000000","5907","80","0.0%","","Textile fabrics otherwise impregnated; coated or covered; painted canvas being theatrical scenery; studio backcloths or the like"
"5908000000","5908","80","0.0%","","Textile wicks; woven; plaited or knitted; for lamps; stoves; lighters; candles or the like; incandescent gas mantles and tubular knitted gas-mantle fabric therefor; whether or not impregnated"
"5909000000","5909","80","","","Textile hosepiping and similar textile tubing; with or without lining; armour or accessories of other materials"
"5909001000","5909 00 10","80","0.0%","","Of synthetic fibres"
"5909009000","5909 00 90","80","0.0%","","Of other textile materials"
"5910000000","5910","80","0.0%","","Transmission or conveyor belts or belting; of textile material; whether or not impregnated; coated; covered or laminated with plastics; or reinforced with metal or other material"
"5911000000","5911","80","","","Textile products and articles; for technical uses; specified in note 7 to this chapter"
"5911100000","5911 10","80","0.0%","","Textile fabrics; felt and felt-lined woven fabrics; coated; covered or laminated with rubber; leather or other material; of a kind used for card clothing; and similar fabrics of a kind used for other technical purposes; including narrow fabrics made of velvet impregnated with rubber; for covering weaving spindles (weaving beams)"
"5911200000","5911 20","80","0.0%","","Bolting cloth; whether or not made up"
"5911310000","","10","","","Textile fabrics and felts; endless or fitted with linking devices; of a kind used in paper-making or similar machines (for example; for pulp or asbestos-cement)"
"5911310000","5911 31","80","","","Weighing less than 650 g/m<w:vertAlign w:val='superscript'/>2"
"5911311100","","10","","","Of silk or man-made fibres"
"5911311100","5911 31 11","80","0.0%","","Woven fabrics; of a kind used in papermaking machines (for example; forming fabrics)"
"5911311900","5911 31 19","80","0.0%","","Other"
"5911319000","5911 31 90","80","0.0%","","Of other textile materials"
"5911320000","5911 32","80","","","Weighing 650 g/m<w:vertAlign w:val='superscript'/>2 or more"
"5911321100","","10","","","Of silk or man-made fibres"
"5911321100","5911 32 11","80","0.0%","","Woven fabrics having a batt layer needled on them; of a kind used in papermaking machines (for example; press felts)"
"5911321900","5911 32 19","80","0.0%","","Other"
"5911329000","5911 32 90","80","0.0%","","Of other textile materials"
"5911400000","5911 40","80","0.0%","","Straining cloth of a kind used in oil-presses or the like; including that of human hair"
"5911900000","5911 90","80","","","Other"
"5911901000","5911 90 10","80","0.0%","","Of felt"
"5911909100","","10","","","Other"
"5911909100","5911 90 91","80","0.0%","","Self-adhesive circular polishing pads of a kind used for the manufacture of semiconductor wafers"
"5911909900","5911 90 99","80","0.0%","","Other"
