"measure_sid","reformat_regulation_id","regulation_id","regulation_id_full","goods_nomenclature_item_id","additional_code_type_id","additional_code_id","measure_type_id","geographical_area_id","validity_start_date","validity_end_date","effective_end_date","ordernumber","national","reduction_indicator","measure_generating_regulation_role","measure_generating_regulation_id","justification_regulation_role","justification_regulation_id","stopped_flag","geographical_area_sid","goods_nomenclature_sid","additional_code_sid","export_refund_nomenclature_sid","regulation_group_id","measure_sid","duty_expression_id","duty_amount","monetary_unit_code","measurement_unit_code","measurement_unit_qualifier_code","oid","operation","operation_date","added_by_id","added_at","national","status","workbasket_id","workbasket_sequence_number","original_duty_expression_id"
3633499,D0001/94,D940001,D9400010,"0302431000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,93989,,,PRF,3633499,"01",6.9,,,,2030172,C,,,,,,,,
3633133,D0001/94,D940001,D9400010,"0302433000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,93990,,,PRF,3633133,"01",4.5,,,,2030058,C,,,,,,,,
3633501,D0001/94,D940001,D9400010,"0302439000",,,"142","2012",2019-06-16 00:00:00,2019-12-31 00:00:00,,,,,1,D9400010,1,D9400010,false,56,93991,,,PRF,3633501,"01",3.9,,,,2030174,C,,,,,,,,
3633502,D0001/94,D940001,D9400010,"0302439000",,,"142","2012",2019-01-01 00:00:00,2019-02-14 00:00:00,,,,,1,D9400010,1,D9400010,false,56,93991,,,PRF,3633502,"01",3.9,,,,2030175,C,,,,,,,,
3633542,D0001/94,D940001,D9400010,"0302439000",,,"142","2012",2018-01-01 00:00:00,2018-02-14 00:00:00,,,,,1,D9400010,1,D9400010,false,56,93991,,,PRF,3633542,"01",3.9,,,,2030210,C,,,,,,,,
3633543,D0001/94,D940001,D9400010,"0302439000",,,"142","2012",2018-06-16 00:00:00,2018-12-31 00:00:00,,,,,1,D9400010,1,D9400010,false,56,93991,,,PRF,3633543,"01",3.9,,,,2030211,C,,,,,,,,
3633134,D0001/94,D940001,D9400010,"0302450000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,93993,,,PRF,3633134,"01",4.5,,,,2030059,C,,,,,,,,
3633135,D0001/94,D940001,D9400010,"0302460000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,93997,,,PRF,3633135,"01",4.5,,,,2030060,C,,,,,,,,
3633136,D0001/94,D940001,D9400010,"0302470000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,93998,,,PRF,3633136,"01",4.5,,,,2030061,C,,,,,,,,
3633486,D0001/94,D940001,D9400010,"0302491900",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,100570,,,PRF,3633486,"01",6.6,,,,2030159,C,,,,,,,,
