Regulation ID,UK regulation ID
D181137,X0525170
R081005,X1806430
R151850,X1810340
R090116,X1811860
R170160,X1814080
R913254,X1900160
R171263,X1902230
R140704,X1904640
D060232,X1905240
D050394,X1905240
R091005,X1905830
R140517,X1905830
R061013,X1905900
R170284,X1906040
R110333,X1906200
R110284,X1906640
R150175,X1906640
R162106,X1906640
