Regulation ID,UK regulation ID
R1905760
D0101080
D0201340
D0206060
D0308990
D0407760
D0600220
D0607720
D0802600
D0900480
D0908670
D1103040
D1108760
D1402230
D1523620
D1703220
D1804770
D1910870
D9704470
D9801150
D9803660
D9806840
I0400970
I0501950
I0601860
I0902910
I9902940
I9902980
R0908030
R1200140
R1303720
R1305010
R1305020
R1305120
R1308710
R1308750
R1313430
R1403600
R1409760
R1413130
R1413460
R1500820
R1500830
R1500840
R1507760
R1508310
R1513940
R1514290
R1519340
R1519520
R1519630
R1523840
R1523850
R1600320
R1603880
R1607030
R1607040
R1610460
R1610770
R1611590
R1611600
R1612470
R1700940
R1704220
R1706480
R1706590
R1707630
R1708040
R1709420
R1710190
R1711590
R1711710
R1711880
R1717590
R1719930
R1722060
R1722130
R1722300
R1800280
R1800490
R1803300
R1807880
R1809210
R1809310
R1814690
R1816840
R1900590
R1900730
R1902510
R1905660
R1912590
R1912670
R1912950
R9700880
R1913440
R1404710
R1603870
R1704210
R1711870
R1900720
R1912860
C0603030
I1801710
I1900600
I1900680
I1901110
I1901510
I1902560
I1902690
R1904640
R1912500
I1402990
I1801890
I1802530
I1803220
I1804540
I1901230
I1901650
R1610360
D9601429
